Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,Pos2,stats_id,value_id
444,Eduardo Camavinga,FRA,2,Real Madrid,La Liga,19.0,25,12,1191,0.15,0.91,0.38,41.7,0.17,23.6,0.0,0.0,0.0,57.4,90.1,92.8,92.1,87.4,0.08,0.45,0.15,63.7,0.98,9.09,1.89,0.3,0.0,56.4,4.09,0.83,2.35,0.23,1.59,1.59,0.61,1.36,54.5,26.1,2.12,0.15,0.0,1.36,5.15,3.03,19.3,45.3,18.6,1.59,2.42,65.6,57.5,279.4,149.2,1.29,57.7,94.0,0.61,0.0,0.0,3.18,2.8,0.08,0.3,0.0,0.0,2.27,0.76,75.0,,444,444
445,Andrea Cambiaso,ITA,1,Genoa,Serie A,22.0,26,21,1790,0.05,0.65,0.25,38.5,0.08,19.9,0.0,0.0,0.0,35.6,78.0,89.3,80.4,52.0,0.2,0.9,0.4,45.7,0.4,6.93,0.85,2.46,0.05,21.6,14.5,1.46,1.76,0.3,1.31,0.6,0.3,0.85,47.2,17.1,2.71,0.45,0.0,1.81,4.02,3.97,18.2,26.9,17.2,1.31,2.51,52.0,36.3,234.9,133.0,1.31,31.2,87.9,0.25,0.05,0.05,1.31,0.8,0.05,2.46,0.0,0.0,0.6,1.11,35.3,,445,445
446,José Campaña,ESP,2,Levante,La Liga,28.0,20,16,1422,0.13,0.76,0.32,41.7,0.17,20.8,0.06,0.0,0.06,45.2,81.0,90.9,85.4,53.5,0.13,1.01,0.19,55.8,2.78,8.42,2.53,1.58,2.22,8.54,43.8,1.77,2.91,0.19,0.89,0.95,0.13,0.89,37.8,18.1,0.95,0.13,0.0,1.71,3.67,2.28,14.9,37.2,17.6,1.01,2.03,50.0,43.5,243.9,126.5,1.33,44.3,90.0,0.38,0.06,0.0,1.46,1.65,0.06,1.58,0.0,0.0,1.33,1.46,47.7,,446,446
447,Chem Campbell,WAL,2,Wolves,Premier League,19.0,1,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,87.5,100.0,0.0,0.0,0.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,80.0,0.0,0.0,0.0,60.0,250.0,60.0,0.0,80.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,447,447
448,Emre Can,GER,1,Dortmund,Bundesliga,28.0,24,19,1690,0.27,0.32,0.11,33.3,0.17,30.6,0.0,0.21,0.21,64.5,85.2,91.7,90.8,68.0,0.05,0.43,0.0,75.7,1.28,10.3,1.33,0.27,0.0,14.7,54.8,1.38,0.64,0.05,1.22,1.22,0.16,0.8,42.9,13.4,2.02,0.59,0.0,2.34,4.95,5.85,30.6,52.3,8.88,0.96,1.22,78.3,60.7,295.5,139.8,0.74,60.9,97.1,0.27,0.0,0.0,1.81,1.33,0.05,0.27,0.0,0.0,2.34,1.22,65.7,MF,448,448
449,Sergio Canales,ESP,3,Betis,La Liga,31.0,34,33,2791,0.16,1.77,0.74,41.8,0.09,20.1,0.1,0.0,0.0,50.0,83.1,90.5,87.1,68.1,0.26,2.0,0.16,60.2,1.26,11.1,2.1,1.39,0.32,52.3,5.61,1.81,3.77,0.42,0.32,0.42,0.26,0.32,30.3,10.3,0.65,0.03,0.0,0.61,1.61,0.94,9.68,38.8,26.5,0.9,1.65,54.9,52.8,321.9,176.1,1.32,55.6,88.1,0.19,0.0,0.0,0.9,1.58,0.35,1.39,0.0,0.0,0.52,1.45,26.2,MF,449,449
450,Matteo Cancellieri,ITA,2,Hellas Verona,Serie A,20.0,12,1,227,0.4,1.6,0.4,25.0,0.25,20.4,0.0,0.0,0.0,18.8,69.1,81.1,55.0,75.0,0.0,1.2,0.0,27.2,0.4,6.0,0.4,2.4,0.0,17.6,3.2,0.8,3.2,0.0,1.2,0.4,0.4,0.4,20.0,19.6,1.2,0.0,0.0,1.2,3.2,0.4,4.8,18.4,20.8,2.0,4.4,45.5,29.6,194.4,108.4,1.6,25.2,61.8,0.4,0.0,0.0,3.6,1.2,0.4,2.4,0.0,0.0,2.8,5.2,35.0,DF,450,450
451,João Cancelo,POR,1,Manchester City,Premier League,28.0,36,36,3227,0.03,2.26,0.64,28.4,0.01,21.5,0.03,0.0,0.0,76.7,83.9,92.4,86.7,61.6,0.19,2.65,0.36,91.4,1.42,8.22,2.76,2.87,0.03,10.5,69.1,2.98,2.87,0.45,0.86,1.0,0.61,0.97,42.2,9.67,1.25,0.11,0.03,2.09,4.57,2.06,16.9,55.5,38.2,1.48,2.92,50.5,75.3,329.3,179.9,0.81,75.7,96.0,0.19,0.0,0.0,1.03,1.03,0.06,2.87,0.0,0.0,1.36,1.25,52.1,,451,451
452,Fali Candé,GNB,1,Metz,Ligue 1,24.0,11,11,973,0.0,0.56,0.19,33.3,0.0,27.8,0.28,0.0,0.0,33.1,71.7,88.1,76.9,45.2,0.19,0.46,0.37,46.2,0.93,5.46,1.67,1.85,1.67,30.4,4.26,1.67,1.48,0.28,1.39,1.39,0.19,1.2,40.6,14.6,1.85,0.19,0.0,1.76,4.72,3.15,20.6,27.6,14.1,1.02,2.87,35.5,32.6,125.7,68.3,1.11,31.0,89.1,0.19,0.0,0.0,1.39,1.02,0.0,1.85,0.0,0.0,1.67,0.83,66.7,,452,452
453,Antonio Candreva,ITA,2,Sampdoria,Serie A,35.0,36,36,3119,0.2,2.07,0.58,27.8,0.08,21.8,0.12,0.03,0.06,37.3,66.8,83.9,70.5,47.8,0.29,2.07,0.72,55.8,2.1,6.97,4.47,5.3,3.31,9.48,43.5,2.07,3.6,0.49,0.35,0.26,0.17,0.35,23.5,11.2,1.35,0.03,0.0,1.47,2.25,1.5,10.3,30.8,29.7,0.84,1.82,46.0,46.4,260.6,130.8,1.27,47.6,86.6,0.17,0.03,0.0,0.63,1.38,0.37,5.3,0.0,0.0,0.14,0.4,26.3,FW,453,453
454,Sergi Canós,ESP,1,Brentford,Premier League,25.0,31,25,2083,0.13,1.43,0.52,36.4,0.09,16.4,0.04,0.0,0.0,19.6,60.4,78.9,67.1,33.5,0.09,1.13,0.43,32.4,0.43,5.76,1.08,2.25,0.65,3.94,25.4,1.56,1.52,0.22,1.21,0.82,0.43,1.0,38.3,19.9,1.73,0.13,0.0,1.43,3.9,2.99,12.4,20.2,15.5,1.04,2.12,49.0,28.7,159.4,95.5,1.56,26.2,78.7,0.35,0.04,0.04,1.39,0.87,0.22,2.25,0.0,0.04,0.61,1.34,31.1,,454,454
455,Álex Cantero,ESP,3,Levante,La Liga,21.0,25,4,610,0.0,2.35,0.74,31.3,0.0,15.4,0.0,0.0,0.0,13.7,69.9,74.6,77.3,50.0,0.15,0.88,0.44,19.6,0.0,6.32,0.88,1.32,0.0,2.06,16.0,1.18,2.65,0.59,0.88,0.29,0.44,0.59,50.0,23.1,0.59,0.0,0.0,0.15,1.76,0.59,4.56,13.2,15.6,1.03,2.35,43.8,21.3,121.3,82.1,1.62,22.5,63.5,0.15,0.0,0.0,2.06,0.74,0.0,1.32,0.0,0.0,0.29,2.94,9.1,MF,455,455
456,Todd Cantwell,ENG,3,Norwich City,Premier League,24.0,8,5,441,0.0,0.82,0.0,0.0,0.0,28.8,0.0,0.0,0.0,25.9,82.5,87.1,83.3,68.8,0.0,0.41,0.0,31.4,0.61,4.29,0.41,0.61,0.0,3.06,25.3,1.22,1.02,0.0,1.63,1.22,0.2,0.82,28.6,21.6,0.41,0.0,0.0,0.82,3.88,1.02,10.2,22.2,14.3,1.02,2.24,45.5,32.4,124.1,59.0,2.45,30.6,73.2,0.41,0.0,0.0,1.22,2.45,0.41,0.61,0.0,0.0,0.82,1.02,44.4,MF,456,456
457,Ander Capa,ESP,1,Athletic Club,La Liga,30.0,1,0,4,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,21.0,17.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,457,457
458,Pierrick Capelle,FRA,2,Angers,Ligue 1,35.0,30,12,1193,0.0,1.28,0.08,5.9,0.0,19.0,0.0,0.0,0.0,34.8,82.5,86.9,86.8,69.0,0.08,0.23,0.15,42.2,0.53,6.77,1.5,0.68,0.45,31.4,4.59,1.28,2.11,0.3,1.2,1.05,0.45,1.05,35.9,22.3,1.5,0.08,0.0,2.48,5.19,3.46,15.3,28.5,14.9,0.9,1.5,60.0,34.7,177.9,81.1,2.48,33.2,90.9,0.08,0.0,0.0,1.65,0.53,0.0,0.68,0.08,0.0,1.5,2.33,39.2,DF,458,458
459,Leonardo Capezzi,ITA,2,Salernitana,Serie A,27.0,5,2,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,85.4,82.6,94.4,80.0,0.0,0.53,0.0,25.3,1.05,3.16,0.0,0.0,0.53,2.63,20.0,0.0,0.53,0.0,0.0,1.58,0.53,0.53,16.7,39.5,4.74,2.11,0.0,0.53,2.63,4.21,8.95,22.1,13.2,1.05,1.58,66.7,22.1,81.1,42.1,2.63,20.5,66.1,0.0,0.0,0.0,2.11,1.05,0.0,0.0,0.0,0.0,1.05,3.16,25.0,,459,459
460,Étienne Capoue,FRA,2,Villarreal,La Liga,33.0,30,26,2290,0.04,0.55,0.2,35.7,0.07,19.1,0.0,0.0,0.0,46.4,88.2,93.4,90.1,73.7,0.04,0.47,0.04,52.6,1.26,8.46,1.22,0.16,0.0,9.17,39.5,1.61,0.98,0.12,0.94,0.94,0.08,0.47,44.4,13.5,0.91,0.2,0.0,1.46,3.43,3.62,16.1,42.0,9.53,1.22,1.81,67.4,43.1,245.3,122.4,0.75,45.3,93.9,0.35,0.0,0.0,1.93,1.97,0.0,0.16,0.0,0.0,2.44,1.3,65.3,,460,460
461,Gianluca Caprari,ITA,3,Hellas Verona,Serie A,28.0,35,33,2739,0.39,2.14,0.86,40.0,0.15,18.1,0.13,0.07,0.07,31.7,75.9,87.8,78.2,46.5,0.23,2.17,0.23,41.8,0.59,8.26,1.02,2.01,2.4,5.59,34.5,2.14,4.41,0.63,0.43,0.76,0.23,0.36,30.6,14.4,1.38,0.0,0.0,0.59,2.01,0.49,5.1,26.3,30.5,1.97,3.82,51.7,44.7,229.9,129.5,2.5,42.9,78.9,0.13,0.0,0.0,1.81,2.66,0.46,2.01,0.0,0.0,0.33,1.58,17.2,MF,461,461
462,Francesco Caputo,ITA,3,Sassuolo,Serie A,34.0,2,2,156,0.0,2.35,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.5,80.0,80.0,90.9,0.0,0.59,0.59,0.0,20.6,0.0,4.71,0.0,0.0,0.0,1.76,15.9,1.18,3.53,1.18,0.0,0.0,0.0,0.0,0.0,5.88,0.59,0.59,0.0,0.0,0.0,0.0,1.18,15.3,12.4,0.0,0.59,0.0,16.5,83.5,24.7,1.18,22.4,61.3,0.59,0.0,0.0,0.59,1.76,0.0,0.0,0.0,0.0,0.59,0.59,50.0,,462,462
463,Francesco Caputo,ITA,3,Sampdoria,Serie A,34.0,36,31,2790,0.35,1.74,0.9,51.9,0.2,12.6,0.0,0.0,0.03,14.7,75.2,78.5,79.3,61.4,0.1,0.52,0.06,19.5,0.1,5.29,0.35,0.74,0.0,2.58,14.9,1.13,2.26,0.32,0.0,0.03,0.13,0.0,0.0,8.81,0.23,0.0,0.0,0.13,0.29,0.42,1.81,13.2,12.7,0.39,0.84,46.2,17.3,71.7,32.0,0.74,20.9,52.7,0.0,0.0,0.0,0.77,1.23,1.16,0.74,0.0,0.0,1.0,1.68,37.3,,463,463
464,Maxence Caqueret,FRA,2,Lyon,Ligue 1,22.0,31,26,2335,0.0,0.58,0.08,13.3,0.0,21.1,0.0,0.0,0.0,51.9,86.7,89.2,90.2,77.5,0.0,0.62,0.04,59.9,0.54,9.69,1.39,0.39,0.31,7.68,49.5,2.05,2.2,0.15,1.2,1.66,0.31,1.12,30.9,25.4,1.97,0.35,0.0,2.36,5.52,2.66,16.1,47.2,13.1,1.39,2.39,58.1,47.4,211.2,103.7,1.35,50.8,92.8,0.19,0.0,0.0,1.81,1.2,0.0,0.39,0.0,0.0,0.42,0.73,36.7,,464,464
465,Andrea Carboni,ITA,1,Cagliari,Serie A,21.0,30,25,2215,0.0,0.41,0.0,0.0,0.0,12.4,0.0,0.0,0.0,33.0,75.4,90.7,82.3,48.6,0.0,0.53,0.16,43.7,1.38,4.11,1.1,0.89,0.0,33.8,4.84,1.26,0.61,0.08,1.22,0.53,0.16,0.57,35.9,14.6,1.83,0.61,0.0,2.24,4.15,7.07,25.0,27.0,5.53,0.28,0.49,58.3,29.8,163.4,97.9,0.37,31.7,97.6,0.24,0.0,0.0,0.77,0.37,0.0,0.89,0.0,0.04,2.4,1.83,56.7,,465,465
466,Isaac Carcelen,ESP,1,Cádiz,La Liga,29.0,25,17,1544,0.0,0.7,0.23,33.3,0.0,24.6,0.06,0.0,0.0,32.4,75.3,86.7,82.8,48.5,0.06,0.76,0.41,43.0,1.22,4.53,0.93,1.69,0.29,4.59,28.4,1.51,1.34,0.06,2.09,0.7,0.17,1.63,47.5,17.2,2.56,0.35,0.0,2.38,5.35,4.01,19.4,26.7,13.4,0.64,1.34,47.8,30.8,158.3,91.2,1.34,26.7,91.1,0.12,0.0,0.0,1.57,1.51,0.06,1.69,0.0,0.0,1.1,1.4,44.2,MF,466,466
467,Cárdenas,ESP,4,Levante,La Liga,25.0,24,24,2160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,67.9,99.1,99.0,43.1,0.0,0.0,0.0,30.0,3.0,2.38,0.96,0.0,0.0,2.71,22.3,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,29.6,32.8,0.29,0.0,0.04,0.04,100.0,13.7,56.5,32.8,0.0,12.7,99.7,0.13,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,467,467
468,Irvin Cardona,FRA,3,Brest,Ligue 1,24.0,32,13,1334,0.27,1.89,0.81,42.9,0.14,14.9,0.0,0.0,0.0,14.3,67.0,77.2,74.2,31.7,0.14,0.27,0.07,21.3,0.27,4.32,0.81,1.89,0.0,4.59,14.3,1.62,1.96,0.34,0.34,0.47,0.27,0.27,25.0,19.5,1.22,0.0,0.0,0.95,2.03,1.69,5.41,15.1,16.1,1.01,2.23,45.5,21.8,120.5,70.3,1.62,23.5,61.1,0.14,0.0,0.0,1.08,0.88,0.61,1.89,0.0,0.0,0.61,1.55,28.1,MF,468,468
469,Igor Carioca,BRA,1,Lorient,Ligue 1,25.0,28,17,1578,0.0,0.8,0.34,42.9,0.0,22.7,0.0,0.0,0.0,34.0,76.5,84.4,80.7,58.2,0.0,0.69,0.51,44.5,0.29,6.06,1.14,2.51,0.06,3.77,29.3,1.43,1.6,0.06,0.86,0.8,0.34,0.69,30.0,18.1,1.31,0.06,0.0,2.0,4.0,2.23,14.1,24.5,19.5,0.8,1.6,50.0,31.4,161.3,97.0,0.91,30.3,85.2,0.17,0.0,0.0,1.83,1.26,0.06,2.51,0.0,0.0,0.69,0.63,52.2,,469,469
470,Carlo,ESP,2,Villarreal,La Liga,21.0,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,0.0,100.0,0.0,0.0,10.0,0.0,40.0,0.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,10.0,0.0,0.0,0.0,40.0,370.0,340.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470,470
471,Diego Carlos,BRA,1,Sevilla,La Liga,29.0,34,34,2957,0.09,0.88,0.3,34.5,0.1,13.6,0.0,0.0,0.0,57.5,88.4,95.4,95.3,71.5,0.0,0.27,0.0,65.1,1.28,5.59,3.56,0.03,0.0,9.48,51.6,0.82,0.46,0.06,0.97,0.4,0.06,0.43,66.7,6.14,1.76,1.09,0.0,1.58,3.01,13.6,42.7,32.6,2.28,0.06,0.09,66.7,52.1,207.7,91.0,0.12,55.0,98.7,0.12,0.03,0.03,1.09,0.58,0.03,0.03,0.06,0.0,2.61,1.22,68.3,,471,471
472,Carmona,ESP,1,Sevilla,La Liga,20.0,1,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,50.0,40.0,75.0,0.0,0.0,0.0,40.0,3.33,0.0,0.0,0.0,0.0,6.67,16.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,3.33,3.33,10.0,30.0,16.7,3.33,3.33,3.33,100.0,23.3,110.0,96.7,0.0,13.3,100.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,3.33,0.0,,472,472
473,Yannick Carrasco,BEL,1,Atlético Madrid,La Liga,28.0,34,28,2583,0.21,1.71,0.35,20.4,0.08,18.3,0.03,0.07,0.07,34.0,76.1,87.1,78.4,43.7,0.21,1.64,0.35,44.7,2.2,5.92,1.39,2.86,2.02,4.7,35.2,1.5,4.01,0.42,0.56,0.42,0.28,0.77,47.8,11.9,0.8,0.21,0.0,1.29,2.54,1.25,8.57,22.5,30.8,2.54,4.39,57.9,42.3,237.6,147.6,2.06,37.9,78.1,0.17,0.0,0.0,1.08,1.71,0.45,2.86,0.0,0.0,0.35,0.73,32.3,MF,473,473
474,Guido Carrillo,ARG,3,Elche,La Liga,31.0,29,11,1168,0.15,1.85,0.77,41.7,0.08,9.7,0.0,0.0,0.0,17.2,70.2,75.6,71.4,40.7,0.0,0.38,0.08,24.5,0.0,8.54,0.38,0.23,0.0,1.38,15.9,1.0,1.62,0.08,0.23,0.15,0.38,0.08,11.1,17.7,0.85,0.15,0.0,0.38,1.15,1.77,4.38,20.4,13.3,0.77,1.15,66.7,19.3,88.2,30.9,1.23,24.7,56.8,0.23,0.0,0.0,2.46,2.31,0.46,0.23,0.0,0.0,5.46,5.69,49.0,,474,474
475,Dani Carvajal,ESP,1,Real Madrid,La Liga,30.0,24,17,1551,0.06,0.58,0.12,20.0,0.1,19.7,0.0,0.0,0.0,60.5,86.3,91.4,88.0,76.1,0.17,1.57,0.47,70.1,1.05,6.63,1.4,2.33,0.0,3.49,55.2,2.03,2.21,0.35,0.87,0.7,0.47,0.7,38.7,13.5,1.92,0.52,0.0,1.98,4.01,4.65,23.3,33.3,27.2,0.47,1.16,40.0,48.8,198.8,98.4,0.76,53.1,94.0,0.06,0.0,0.0,1.45,0.64,0.0,2.33,0.06,0.0,0.87,0.99,46.9,,475,475
476,William Carvalho,POR,2,Betis,La Liga,30.0,33,20,1805,0.1,1.64,0.5,30.3,0.06,15.8,0.0,0.0,0.0,57.9,88.2,90.2,92.2,79.8,0.15,1.09,0.0,65.6,0.95,9.15,1.59,0.35,0.0,10.1,51.9,1.84,2.49,0.35,0.95,1.34,0.1,0.9,47.4,14.4,1.14,0.35,0.0,1.14,3.53,1.94,13.7,52.4,16.0,1.89,2.64,71.7,58.8,253.1,125.9,1.34,59.8,92.5,0.3,0.0,0.0,1.69,1.89,0.0,0.35,0.0,0.0,1.74,1.84,48.6,,476,476
477,Nicolò Casale,ITA,1,Hellas Verona,Serie A,24.0,36,30,2586,0.0,0.38,0.0,0.0,0.0,12.0,0.0,0.0,0.0,33.7,81.7,86.1,86.9,67.6,0.03,0.38,0.17,41.2,1.43,5.23,0.59,0.45,0.03,6.2,28.4,1.05,1.11,0.17,1.18,0.84,0.07,0.84,58.5,17.6,1.81,0.49,0.0,2.3,4.39,5.23,23.4,25.2,6.66,0.28,0.56,50.0,27.2,161.5,86.3,0.45,27.6,95.2,0.35,0.0,0.0,1.57,0.87,0.0,0.45,0.0,0.0,2.96,2.2,57.4,,477,477
478,Casemiro,BRA,2,Real Madrid,La Liga,30.0,32,31,2569,0.04,1.44,0.32,22.0,0.02,24.5,0.04,0.0,0.0,60.1,86.4,90.3,87.9,81.5,0.11,0.7,0.07,69.6,1.58,10.3,3.37,0.35,0.0,7.79,55.5,1.3,2.21,0.39,1.79,1.19,0.18,1.12,45.7,15.6,2.28,0.67,0.0,2.07,5.23,6.28,26.1,46.0,14.4,0.46,0.84,54.2,49.2,187.5,105.2,0.77,57.2,95.3,0.39,0.0,0.0,2.35,1.44,0.14,0.35,0.0,0.0,3.93,1.93,67.1,,478,478
479,Matty Cash,POL,1,Aston Villa,Premier League,24.0,38,38,3377,0.11,0.96,0.35,36.1,0.11,18.2,0.0,0.0,0.0,29.9,70.6,86.7,79.0,38.5,0.08,0.77,0.37,42.3,0.93,4.4,1.33,2.51,0.03,3.71,27.5,1.31,1.44,0.19,1.41,0.88,0.11,1.09,55.4,13.6,2.43,0.51,0.0,2.4,4.8,4.21,19.3,23.8,15.3,0.56,0.96,58.3,29.5,180.2,95.3,1.31,27.5,89.1,0.21,0.0,0.0,1.2,1.33,0.05,2.51,0.03,0.0,1.17,1.49,44.0,,479,479
480,Kiko Casilla,ESP,4,Elche,La Liga,35.0,14,14,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,66.5,98.1,98.4,46.6,0.0,0.0,0.0,34.4,3.64,2.36,1.0,0.0,0.0,1.43,26.4,0.57,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,32.3,37.3,0.14,0.07,0.0,0.0,0.0,16.6,75.7,35.6,0.0,13.0,100.0,0.21,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,480,480
481,Moreto Cassamã,GNB,2,Reims,Ligue 1,24.0,17,11,801,0.22,1.24,0.79,63.6,0.18,26.2,0.0,0.0,0.0,40.0,82.0,87.7,90.9,67.0,0.0,0.79,0.0,48.8,2.36,5.73,2.58,0.79,1.01,3.6,44.0,2.13,2.47,0.34,1.01,0.67,0.0,0.22,14.3,14.7,2.58,0.9,0.0,1.24,2.92,2.7,16.2,37.5,11.7,1.12,2.13,52.6,42.5,194.5,92.2,1.69,41.7,91.4,0.11,0.0,0.0,1.8,2.47,0.0,0.79,0.0,0.0,0.45,0.9,33.3,,481,481
482,Francesco Cassata,ITA,2,Genoa,Serie A,24.0,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,30.0,170.0,160.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,482,482
483,Timothy Castagne,BEL,1,Leicester City,Premier League,26.0,27,22,2127,0.04,0.3,0.13,42.9,0.14,14.5,0.0,0.0,0.0,45.3,82.7,89.0,84.6,64.3,0.0,0.59,0.25,54.7,0.34,8.14,0.51,1.14,0.08,5.72,36.5,1.74,1.06,0.04,1.4,1.1,0.3,0.97,52.3,14.8,2.25,0.34,0.0,1.61,4.41,4.49,24.1,32.0,13.7,0.55,0.81,68.4,36.7,145.3,74.7,0.76,39.5,89.3,0.04,0.0,0.0,0.76,0.55,0.04,1.14,0.0,0.0,1.86,1.36,57.9,,483,483
484,Koen Casteels,BEL,4,Wolfsburg,Bundesliga,29.0,28,28,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,78.3,99.2,99.2,59.9,0.0,0.0,0.0,38.6,2.11,3.18,0.93,0.0,0.0,25.3,7.36,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,33.9,40.8,0.29,0.0,0.04,0.04,100.0,23.1,94.3,42.5,0.0,21.9,100.0,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,484,484
485,Jean-Charles Castelletto,CMR,1,Nantes,Ligue 1,27.0,28,28,2510,0.04,0.57,0.14,25.0,0.06,10.3,0.0,0.0,0.0,37.6,87.4,91.5,91.8,71.2,0.0,0.11,0.04,43.0,1.15,5.13,0.61,0.14,0.0,3.62,34.7,0.57,0.5,0.04,1.04,0.75,0.04,0.57,51.6,9.18,1.68,1.0,0.07,1.61,3.44,4.55,22.9,28.2,2.8,0.22,0.25,85.7,30.6,130.8,66.5,0.18,30.6,98.1,0.29,0.0,0.0,1.54,0.39,0.04,0.14,0.0,0.0,2.47,1.08,69.7,,485,485
486,Samu Castillejo,ESP,3,Milan,Serie A,27.0,5,1,125,0.0,1.43,0.0,0.0,0.0,12.7,0.0,0.0,0.0,40.0,82.4,93.5,92.9,68.4,0.0,2.86,2.14,48.6,0.0,9.29,2.14,3.57,1.43,38.6,7.14,0.0,4.29,0.71,0.0,0.71,0.71,0.0,0.0,21.4,2.86,0.71,0.0,1.43,2.86,1.43,5.71,23.6,40.0,0.0,2.14,0.0,45.7,278.6,150.0,1.43,45.0,94.0,0.71,0.0,0.0,1.43,2.14,0.0,3.57,0.0,0.0,2.14,2.86,42.9,MF,486,486
487,Gonzalo Castro,GER,2,Arminia,Bundesliga,34.0,12,4,436,0.21,1.67,0.42,25.0,0.13,20.9,0.42,0.0,0.0,23.5,65.3,83.6,76.8,37.8,0.21,0.42,0.21,36.0,2.92,5.83,1.88,1.46,2.29,5.0,28.5,1.25,2.5,0.21,0.42,0.83,0.21,0.0,0.0,20.8,1.25,0.0,0.0,0.63,2.08,1.04,8.13,22.7,16.7,0.21,0.83,25.0,21.7,102.3,53.8,0.63,26.9,75.9,0.0,0.0,0.0,1.88,0.63,0.42,1.46,0.0,0.0,0.83,1.25,40.0,FW,487,487
488,Jonny Castro,ESP,1,Wolves,Premier League,28.0,13,10,1024,0.18,0.88,0.44,50.0,0.2,18.9,0.0,0.0,0.0,44.4,84.3,88.8,87.3,74.6,0.0,0.79,0.35,52.6,0.79,7.46,0.61,0.88,0.0,9.21,33.6,2.37,1.58,0.0,1.32,0.96,0.09,0.88,50.0,15.4,1.67,0.26,0.0,1.14,3.51,2.11,18.0,32.7,18.0,1.05,1.84,57.1,41.8,189.5,106.7,2.02,42.0,93.4,0.09,0.0,0.0,0.96,1.58,0.0,0.88,0.0,0.0,0.96,0.96,50.0,,488,488
