,Player Name,Player Age,Value,Team,Nationality,Position
1343,Nikola Moro,25,€7.00m, Bologna FC 1909 ,Croatia,Defensive Midfield
1344,Gary Medel,35,€1.00m, Bologna FC 1909 ,Chile,Defensive Midfield
1345,Kacper Urbanski,18,€250k, Bologna FC 1909 ,Poland,Defensive Midfield
1346,Nicolás Domínguez,24,€15.00m, Bologna FC 1909 ,Argentina,Central Midfield
1347,Lewis Ferguson,23,€9.00m, Bologna FC 1909 ,Scotland,Central Midfield
1348,Michel Aebischer,26,€3.50m, Bologna FC 1909 ,Switzerland,Central Midfield
1349,Niklas Pyyhtiä,19,€500k, Bologna FC 1909 ,Finland,Central Midfield
1350,Roberto Soriano,32,€3.50m, Bologna FC 1909 ,Italy,Attacking Midfield
1351,Musa Barrow,24,€12.00m, Bologna FC 1909 ,The Gambia,Left Winger
1352,Nicola Sansone,31,€1.50m, Bologna FC 1909 ,Italy,Left Winger
1353,Riccardo Orsolini,26,€10.00m, Bologna FC 1909 ,Italy,Right Winger
1354,Orji Okwonkwo,25, , Bologna FC 1909 ,Nigeria,Right Winger
1355,Joshua Zirkzee,21,€9.00m, Bologna FC 1909 ,Netherlands,Centre-Forward
1356,Marko Arnautovic,33,€7.00m, Bologna FC 1909 ,Austria,Centre-Forward
1357,Antonio Raimondo,19,€700k, Bologna FC 1909 ,Italy,Centre-Forward
1358,Michele Di Gregorio,25,€7.00m, AC Monza ,Italy,Goalkeeper
1359,Alessio Cragno,28,€4.00m, AC Monza ,Italy,Goalkeeper
1360,Alessandro Sorrentino,21,€500k, AC Monza ,Italy,Goalkeeper
1361,Eugenio Lamanna,33,€100k, AC Monza ,Italy,Goalkeeper
1362,Marlon,27,€7.50m, AC Monza ,Brazil,Centre-Back
1363,Pablo Marí,29,€5.00m, AC Monza ,Spain,Centre-Back
1364,Armando Izzo,31,€2.80m, AC Monza ,Italy,Centre-Back
1365,Luca Caldirola,32,€1.00m, AC Monza ,Italy,Centre-Back
1366,Valentin Antov,22,€800k, AC Monza ,Bulgaria,Centre-Back
1367,Luca Marrone,33,€300k, AC Monza ,Italy,Centre-Back
1368,Carlos Augusto,24,€8.00m, AC Monza ,Brazil,Left-Back
1369,Franco Carboni,20,€1.00m, AC Monza ,Argentina,Left-Back
1370,Samuele Birindelli,23,€2.30m, AC Monza ,Italy,Right-Back
1371,Giulio Donati,33,€500k, AC Monza ,Italy,Right-Back
1372,Nicolò Rovella,21,€12.00m, AC Monza ,Italy,Defensive Midfield
1373,Andrea Barberis,29,€900k, AC Monza ,Italy,Defensive Midfield
1374,Matteo Pessina,25,€14.00m, AC Monza ,Italy,Central Midfield
1375,Stefano Sensi,27,€8.00m, AC Monza ,Italy,Central Midfield
1376,Andrea Colpani,23,€2.50m, AC Monza ,Italy,Central Midfield
1377,Filippo Ranocchia,21,€1.80m, AC Monza ,Italy,Central Midfield
1378,Mattia Valoti,29,€1.70m, AC Monza ,Italy,Central Midfield
1379,José Machín,26,€1.50m, AC Monza ,Equatorial Guinea,Central Midfield
1380,Samuele Vignato,19,€600k, AC Monza ,Italy,Attacking Midfield
1381,Patrick Ciurria,28,€3.50m, AC Monza ,Italy,Right Winger
1382,Marco D'Alessandro,32,€900k, AC Monza ,Italy,Right Winger
1383,Gianluca Caprari,29,€9.00m, AC Monza ,Italy,Second Striker
1384,Andrea Petagna,27,€10.00m, AC Monza ,Italy,Centre-Forward
1385,Dany Mota,24,€5.50m, AC Monza ,Portugal,Centre-Forward
1386,Christian Gytkjaer,32,€1.00m, AC Monza ,Denmark,Centre-Forward
1387,Mirko Maric,27,€1.00m, AC Monza ,Croatia,Centre-Forward
1388,Guglielmo Vicario,26,€16.00m, FC Empoli ,Italy,Goalkeeper
1389,Samuele Perisan,25,€700k, FC Empoli ,Italy,Goalkeeper
1390,Samir Ujkani,34,€200k, FC Empoli ,Kosovo,Goalkeeper
1391,Lovro Stubljar,18,€200k, FC Empoli ,Slovenia,Goalkeeper
1392,Koni De Winter,20,€4.00m, FC Empoli ,Belgium,Centre-Back
1393,Ardian Ismajli,26,€3.50m, FC Empoli ,Albania,Centre-Back
1394,Sebastian Walukiewicz,23,€3.00m, FC Empoli ,Poland,Centre-Back
1395,Sebastiano Luperto,26,€3.00m, FC Empoli ,Italy,Centre-Back
1396,Lorenzo Tonelli,33,€800k, FC Empoli ,Italy,Centre-Back
1397,Gabriele Guarino,19,€200k, FC Empoli ,Italy,Centre-Back
1398,Fabiano Parisi,22,€10.00m, FC Empoli ,Italy,Left-Back
1399,Liberato Cacace,22,€2.50m, FC Empoli ,New Zealand,Left-Back
1400,Petar Stojanovic,27,€2.80m, FC Empoli ,Slovenia,Right-Back
1401,Tyronne Ebuehi,27,€2.00m, FC Empoli ,Nigeria,Right-Back
1402,Duccio Degli Innocenti,19,€500k, FC Empoli ,Italy,Defensive Midfield
1403,Razvan Marin,26,€8.00m, FC Empoli ,Romania,Central Midfield
1404,Filippo Bandinelli,28,€3.50m, FC Empoli ,Italy,Central Midfield
1405,Liam Henderson,26,€3.00m, FC Empoli ,Scotland,Central Midfield
1406,Nicolas Haas,27,€2.50m, FC Empoli ,Switzerland,Central Midfield
1407,Alberto Grassi,28,€2.00m, FC Empoli ,Italy,Central Midfield
1408,Jean-Daniel Akpa Akpro,30,€1.40m, FC Empoli ,Cote d'Ivoire,Central Midfield
1409,Jacopo Fazzini,20,€1.00m, FC Empoli ,Italy,Central Midfield
1410,Tommaso Baldanzi,20,€10.00m, FC Empoli ,Italy,Attacking Midfield
1411,Nicolò Cambiaghi,22,€3.00m, FC Empoli ,Italy,Left Winger
1412,Marko Pjaca,27,€2.20m, FC Empoli ,Croatia,Left Winger
1413,Emanuel Vignato,22,€2.80m, FC Empoli ,Italy,Right Winger
1414,Martín Satriano,22,€8.00m, FC Empoli ,Uruguay,Centre-Forward
1415,Roberto Piccoli,22,€3.50m, FC Empoli ,Italy,Centre-Forward
1416,Francesco Caputo,35,€1.50m, FC Empoli ,Italy,Centre-Forward
1417,Mattia Destro,32,€1.50m, FC Empoli ,Italy,Centre-Forward
1418,Guillermo Ochoa,37,€1.20m, US Salernitana 1919 ,Mexico,Goalkeeper
1419,Luigi Sepe,31,€1.00m, US Salernitana 1919 ,Italy,Goalkeeper
1420,Vincenzo Fiorillo,33,€300k, US Salernitana 1919 ,Italy,Goalkeeper
1421,Flavius Daniliuc,21,€8.00m, US Salernitana 1919 ,Austria,Centre-Back
1422,Matteo Lovato,23,€6.50m, US Salernitana 1919 ,Italy,Centre-Back
1423,Dylan Bronn,27,€3.00m, US Salernitana 1919 ,Tunisia,Centre-Back
1424,William Troost-Ekong,29,€3.00m, US Salernitana 1919 ,Nigeria,Centre-Back
1425,Lorenzo Pirola,21,€3.00m, US Salernitana 1919 ,Italy,Centre-Back
1426,Norbert Gyomber,30,€1.00m, US Salernitana 1919 ,Slovakia,Centre-Back
1427,Federico Fazio,36,€600k, US Salernitana 1919 ,Argentina,Centre-Back
1428,Domagoj Bradaric,23,€5.00m, US Salernitana 1919 ,Croatia,Left-Back
1429,Pasquale Mazzocchi,27,€5.00m, US Salernitana 1919 ,Italy,Right-Back
1430,Junior Sambia,26,€3.50m, US Salernitana 1919 ,France,Right-Back
1431,Giulio Maggiore,25,€7.50m, US Salernitana 1919 ,Italy,Central Midfield
1432,Emil Bohinen,24,€4.00m, US Salernitana 1919 ,Norway,Central Midfield
1433,Lassana Coulibaly,27,€4.00m, US Salernitana 1919 ,Mali,Central Midfield
1434,Tonny Vilhena,28,€3.40m, US Salernitana 1919 ,Netherlands,Central Midfield
1435,Hans Nicolussi Caviglia,22,€2.00m, US Salernitana 1919 ,Italy,Central Midfield
1436,Domen Crnigoj,27,€1.50m, US Salernitana 1919 ,Slovenia,Central Midfield
1437,Grigoris Kastanos,25,€1.30m, US Salernitana 1919 ,Cyprus,Central Midfield
1438,Antonio Pio Iervolino,19,€75k, US Salernitana 1919 ,Italy,Central Midfield
1439,Antonio Candreva,36,€1.50m, US Salernitana 1919 ,Italy,Right Midfield
1440,Boulaye Dia,26,€14.00m, US Salernitana 1919 ,Senegal,Centre-Forward
1441,Krzysztof Piatek,27,€8.50m, US Salernitana 1919 ,Poland,Centre-Forward
1442,Federico Bonazzoli,25,€4.50m, US Salernitana 1919 ,Italy,Centre-Forward
1443,Erik Botheim,23,€3.80m, US Salernitana 1919 ,Norway,Centre-Forward
1444,Diego Valencia,23,€2.50m, US Salernitana 1919 ,Chile,Centre-Forward
1445,Wladimiro Falcone,28,€5.00m, US Lecce ,Italy,Goalkeeper
1446,Marco Bleve,27,€200k, US Lecce ,Italy,Goalkeeper
1447,Federico Brancolini,21,€200k, US Lecce ,Italy,Goalkeeper
1448,Jasper Samooja,19,€75k, US Lecce ,Finland,Goalkeeper
1449,Federico Baschirotto,26,€8.00m, US Lecce ,Italy,Centre-Back
1450,Marin Pongracic,25,€6.00m, US Lecce ,Croatia,Centre-Back
1451,Samuel Umtiti,29,€4.00m, US Lecce ,France,Centre-Back
1452,Pietro Ceccaroni,27,€2.00m, US Lecce ,Italy,Centre-Back
1453,Simone Romagnoli,33,€750k, US Lecce ,Italy,Centre-Back
1454,Alessandro Tuia,32,€700k, US Lecce ,Italy,Centre-Back
1455,Kastriot Dermaku,31,€600k, US Lecce ,Albania,Centre-Back
1456,Giuseppe Pezzella,25,€3.00m, US Lecce ,Italy,Left-Back
1457,Antonino Gallo,23,€2.00m, US Lecce ,Italy,Left-Back
1458,Valentin Gendrey,22,€4.00m, US Lecce ,France,Right-Back
1459,Tommaso Cassandro,23,€900k, US Lecce ,Italy,Right-Back
1460,Mats Lemmens,21,€100k, US Lecce ,Belgium,Right-Back
1461,Morten Hjulmand,23,€12.00m, US Lecce ,Denmark,Defensive Midfield
1462,Daniel Samek,19,€2.00m, US Lecce ,Czech Republic,Defensive Midfield
1463,Alexis Blin,26,€2.00m, US Lecce ,France,Defensive Midfield
1464,Joan González,21,€6.00m, US Lecce ,Spain,Central Midfield
1465,Youssef Maleh,24,€4.50m, US Lecce ,Morocco,Central Midfield
1466,Kristoffer Askildsen,22,€2.00m, US Lecce ,Norway,Central Midfield
1467,Thórir Jóhann Helgason,22,€900k, US Lecce ,Iceland,Central Midfield
1468,Medon Berisha,19,€100k, US Lecce ,Albania,Central Midfield
1469,Lameck Banda,22,€3.00m, US Lecce ,Zambia,Left Winger
1470,Federico Di Francesco,28,€1.50m, US Lecce ,Italy,Left Winger
1471,Gabriel Strefezza,25,€10.00m, US Lecce ,Brazil,Right Winger
1472,Rémi Oudin,26,€4.00m, US Lecce ,France,Right Winger
1473,Lorenzo Colombo,21,€5.00m, US Lecce ,Italy,Centre-Forward
1474,Assan Ceesay,29,€3.00m, US Lecce ,The Gambia,Centre-Forward
1475,Joel Voelkerling Persson,20,€600k, US Lecce ,Sweden,Centre-Forward
1476,Bartlomiej Dragowski,25,€4.50m, Spezia Calcio ,Poland,Goalkeeper
1477,Jeroen Zoet,32,€500k, Spezia Calcio ,Netherlands,Goalkeeper
1478,Petar Zovko,21,€100k, Spezia Calcio ,Bosnia-Herzegovina,Goalkeeper
1479,Federico Marchetti,40,€50k, Spezia Calcio ,Italy,Goalkeeper
1480,Ethan Ampadu,22,€9.00m, Spezia Calcio ,Wales,Centre-Back
1481,Dimitrios Nikolaou,24,€3.80m, Spezia Calcio ,Greece,Centre-Back
1482,Przemyslaw Wisniewski,24,€3.00m, Spezia Calcio ,Poland,Centre-Back
1483,Mattia Caldara,28,€2.50m, Spezia Calcio ,Italy,Centre-Back
1484,Arkadiusz Reca,27,€3.00m, Spezia Calcio ,Poland,Left-Back
1485,João Moutinho,25,€1.50m, Spezia Calcio ,Portugal,Left-Back
1486,Emil Holm,22,€5.00m, Spezia Calcio ,Sweden,Right-Back
1487,Kelvin Amian,25,€3.50m, Spezia Calcio ,France,Right-Back
1488,Salva Ferrer,25,€1.00m, Spezia Calcio ,Spain,Right-Back
1489,Salvatore Esposito,22,€3.50m, Spezia Calcio ,Italy,Defensive Midfield
1490,Mehdi Bourabia,31,€1.30m, Spezia Calcio ,Morocco,Defensive Midfield
1491,Albin Ekdal,33,€800k, Spezia Calcio ,Sweden,Defensive Midfield
1492,Simone Bastoni,26,€7.50m, Spezia Calcio ,Italy,Central Midfield
1493,Szymon Zurkowski,25,€4.50m, Spezia Calcio ,Poland,Central Midfield
1494,Jacopo Sala,31,€500k, Spezia Calcio ,Italy,Central Midfield
1495,Tio Cipot,19,€500k, Spezia Calcio ,Slovenia,Central Midfield
1496,Julius Beck,17,€250k, Spezia Calcio ,Denmark,Central Midfield
1497,Kevin Agudelo,24,€3.50m, Spezia Calcio ,Colombia,Attacking Midfield
1498,Viktor Kovalenko,27,€2.00m, Spezia Calcio ,Ukraine,Attacking Midfield
1499,Daniel Maldini,21,€2.00m, Spezia Calcio ,Italy,Attacking Midfield
1500,Emmanuel Gyasi,29,€2.50m, Spezia Calcio ,Ghana,Left Winger
1501,Daniele Verde,26,€4.00m, Spezia Calcio ,Italy,Right Winger
1502,Eldor Shomurodov,27,€7.00m, Spezia Calcio ,Uzbekistan,Centre-Forward
1503,M'Bala Nzola,26,€6.50m, Spezia Calcio ,Angola,Centre-Forward
1504,Raimonds Krollis,21,€2.50m, Spezia Calcio ,Latvia,Centre-Forward
1505,Lorenzo Montipò,27,€4.00m, Hellas Verona ,Italy,Goalkeeper
1506,Simone Perilli,28,€200k, Hellas Verona ,Italy,Goalkeeper
1507,Alessandro Berardi,32,€50k, Hellas Verona ,Italy,Goalkeeper
1508,Isak Hien,24,€6.00m, Hellas Verona ,Sweden,Centre-Back
1509,Pawel Dawidowicz,27,€3.50m, Hellas Verona ,Poland,Centre-Back
1510,Federico Ceccherini,30,€3.00m, Hellas Verona ,Italy,Centre-Back
1511,Giangiacomo Magnani,27,€3.00m, Hellas Verona ,Italy,Centre-Back
1512,Diego Coppola,19,€3.00m, Hellas Verona ,Italy,Centre-Back
1513,Juan Cabal,22,€2.50m, Hellas Verona ,Colombia,Centre-Back
1514,Josh Doig,20,€10.00m, Hellas Verona ,Scotland,Left-Back
1515,Davide Faraoni,31,€3.50m, Hellas Verona ,Italy,Right-Back
1516,Fabio Depaoli,25,€3.00m, Hellas Verona ,Italy,Right-Back
1517,Deyovaisio Zeefuik,25,€1.50m, Hellas Verona ,Netherlands,Right-Back
1518,Adrien Tamèze,29,€8.00m, Hellas Verona ,Cameroon,Defensive Midfield
1519,Oliver Abildgaard,26,€5.00m, Hellas Verona ,Denmark,Defensive Midfield
1520,Ibrahim Sulemana,19,€1.50m, Hellas Verona ,Ghana,Defensive Midfield
1521,Miguel Veloso,36,€700k, Hellas Verona ,Portugal,Defensive Midfield
1522,Filippo Terracciano,20,€1.00m, Hellas Verona ,Italy,Central Midfield
1523,Darko Lazović,32,€2.50m, Hellas Verona ,Serbia,Left Midfield
1524,Simone Verdi,30,€4.50m, Hellas Verona ,Italy,Attacking Midfield
1525,Ondrej Duda,28,€4.00m, Hellas Verona ,Slovakia,Attacking Midfield
1526,Ajdin Hrustic,26,€1.80m, Hellas Verona ,Australia,Attacking Midfield
1527,Yayah Kallon,21,€1.50m, Hellas Verona ,Sierra Leone,Right Winger
1528,Cyril Ngonge,22,€1.30m, Hellas Verona ,Belgium,Right Winger
1529,Thomas Henry,28,€4.00m, Hellas Verona ,France,Centre-Forward
1530,Kevin Lasagna,30,€2.00m, Hellas Verona ,Italy,Centre-Forward
1531,Adolfo Gaich,24,€1.80m, Hellas Verona ,Argentina,Centre-Forward
1532,Milan Djuric,32,€1.00m, Hellas Verona ,Bosnia-Herzegovina,Centre-Forward
1533,Jayden Braaf,20,€1.00m, Hellas Verona ,Netherlands,Centre-Forward
1534,Emil Audero,26,€6.00m, UC Sampdoria ,Italy,Goalkeeper
1535,Martin Turk,19,€300k, UC Sampdoria ,Slovenia,Goalkeeper
1536,Nicola Ravaglia,34,€100k, UC Sampdoria ,Italy,Goalkeeper
1537,Koray Günter,28,€4.50m, UC Sampdoria ,Germany,Centre-Back
1538,Bruno Amione,21,€2.70m, UC Sampdoria ,Argentina,Centre-Back
1539,Bram Nuytinck,32,€2.00m, UC Sampdoria ,Netherlands,Centre-Back
1540,Jeison Murillo,30,€2.00m, UC Sampdoria ,Colombia,Centre-Back
1541,Marios Oikonomou,30,€300k, UC Sampdoria ,Greece,Centre-Back
1542,Tommaso Augello,28,€2.50m, UC Sampdoria ,Italy,Left-Back
1543,Nicola Murru,28,€1.60m, UC Sampdoria ,Italy,Left-Back
1544,Alessandro Zanoli,22,€5.00m, UC Sampdoria ,Italy,Right-Back
1545,Andrea Conti,29,€600k, UC Sampdoria ,Italy,Right-Back
1546,Harry Winks,27,€12.00m, UC Sampdoria ,England,Defensive Midfield
1547,Tomás Rincón,35,€800k, UC Sampdoria ,Venezuela,Defensive Midfield
1548,Flavio Paoletti,20,€800k, UC Sampdoria ,Italy,Defensive Midfield
1549,Gerard Yepes,20,€500k, UC Sampdoria ,Spain,Defensive Midfield
1550,Emirhan Ilkhan,18,€4.50m, UC Sampdoria ,Turkey,Central Midfield
1551,Michaël Cuisance,23,€3.50m, UC Sampdoria ,France,Central Midfield
1552,Mehdi Léris,24,€2.20m, UC Sampdoria ,Algeria,Right Midfield
1553,Lorenzo Malagrida,19,€250k, UC Sampdoria ,Italy,Left Midfield
1554,Abdelhamid Sabiri,26,€3.00m, UC Sampdoria ,Morocco,Attacking Midfield
1555,Filip Djuricic,31,€2.50m, UC Sampdoria ,Serbia,Attacking Midfield
1556,Jesé,30,€2.00m, UC Sampdoria ,Spain,Left Winger
1557,Ignacio Pussetto,27,€2.50m, UC Sampdoria ,Argentina,Right Winger
1558,Manolo Gabbiadini,31,€3.00m, UC Sampdoria ,Italy,Centre-Forward
1559,Manuel De Luca,24,€2.50m, UC Sampdoria ,Italy,Centre-Forward
1560,Sam Lammers,25,€2.40m, UC Sampdoria ,Netherlands,Centre-Forward
1561,Fabio Quagliarella,40,€1.00m, UC Sampdoria ,Italy,Centre-Forward
1562,Daniele Montevago,20,€400k, UC Sampdoria ,Italy,Centre-Forward
1563,Marco Carnesecchi,22,€13.00m, US Cremonese ,Italy,Goalkeeper
1564,Mouhamadou Sarr,26,€250k, US Cremonese ,Senegal,Goalkeeper
1565,Gianluca Saro,22,€200k, US Cremonese ,Italy,Goalkeeper
1566,Dorian Ciezkowski,22,€100k, US Cremonese ,Poland,Goalkeeper
1567,Johan Vásquez,24,€3.60m, US Cremonese ,Mexico,Centre-Back
1568,Emanuel Aiwu,22,€3.50m, US Cremonese ,Austria,Centre-Back
1569,Alex Ferrari,28,€1.50m, US Cremonese ,Italy,Centre-Back
1570,Luka Lochoshvili,24,€1.50m, US Cremonese ,Georgia,Centre-Back
1571,Vlad Chiriches,33,€1.30m, US Cremonese ,Romania,Centre-Back
1572,Matteo Bianchetti,30,€800k, US Cremonese ,Italy,Centre-Back
1573,Emanuele Valeri,24,€3.50m, US Cremonese ,Italy,Left-Back
1574,Giacomo Quagliata,23,€2.00m, US Cremonese ,Italy,Left-Back
1575,Leonardo Sernicola,25,€1.90m, US Cremonese ,Italy,Right-Back
1576,Paolo Ghiglione,26,€1.60m, US Cremonese ,Italy,Right-Back
1577,Charles Pickel,25,€3.80m, US Cremonese ,Switzerland,Defensive Midfield
1578,Pablo Galdames,26,€2.00m, US Cremonese ,Chile,Defensive Midfield
1579,Michele Castagnetti,33,€700k, US Cremonese ,Italy,Defensive Midfield
1580,Soualiho Meïté,29,€4.00m, US Cremonese ,France,Central Midfield
1581,Marco Benassi,28,€1.50m, US Cremonese ,Italy,Central Midfield
1582,Christian Acella,20,€150k, US Cremonese ,Italy,Central Midfield
1583,Cristian Buonaiuto,30,€800k, US Cremonese ,Italy,Left Winger
1584,Cyriel Dessers,28,€6.00m, US Cremonese ,Nigeria,Centre-Forward
1585,Felix Afena-Gyan,20,€5.50m, US Cremonese ,Ghana,Centre-Forward
1586,David Okereke,25,€4.30m, US Cremonese ,Nigeria,Centre-Forward
1587,Frank Tsadjout,23,€1.20m, US Cremonese ,Italy,Centre-Forward
1588,Daniel Ciofani,37,€200k, US Cremonese ,Italy,Centre-Forward
1589,Manuel Neuer,37,€7.00m, Bayern Munich ,Germany,Goalkeeper
1590,Yann Sommer,34,€5.00m, Bayern Munich ,Switzerland,Goalkeeper
1591,Sven Ulreich,34,€900k, Bayern Munich ,Germany,Goalkeeper
1592,Johannes Schenk,20,€300k, Bayern Munich ,Germany,Goalkeeper
1593,Matthijs de Ligt,23,€75.00m, Bayern Munich ,Netherlands,Centre-Back
1594,Dayot Upamecano,24,€60.00m, Bayern Munich ,France,Centre-Back
1595,Lucas Hernández,27,€50.00m, Bayern Munich ,France,Centre-Back
1596,Alphonso Davies,22,€70.00m, Bayern Munich ,Canada,Left-Back
1597,Daley Blind,33,€6.00m, Bayern Munich ,Netherlands,Left-Back
1598,João Cancelo,28,€60.00m, Bayern Munich ,Portugal,Right-Back
1599,Benjamin Pavard,27,€35.00m, Bayern Munich ,France,Right-Back
1600,Noussair Mazraoui,25,€28.00m, Bayern Munich ,Morocco,Right-Back
1601,Josip Stanisic,23,€12.00m, Bayern Munich ,Croatia,Right-Back
1602,Bouna Sarr,31,€2.50m, Bayern Munich ,Senegal,Right-Back
1603,Joshua Kimmich,28,€80.00m, Bayern Munich ,Germany,Defensive Midfield
1604,Leon Goretzka,28,€65.00m, Bayern Munich ,Germany,Central Midfield
1605,Ryan Gravenberch,20,€30.00m, Bayern Munich ,Netherlands,Central Midfield
1606,Jamal Musiala,20,€110.00m, Bayern Munich ,Germany,Attacking Midfield
1607,Paul Wanner,17,€3.00m, Bayern Munich ,Germany,Attacking Midfield
1608,Arijon Ibrahimovic,17,€1.00m, Bayern Munich ,Germany,Attacking Midfield
1609,Kingsley Coman,26,€65.00m, Bayern Munich ,France,Left Winger
1610,Sadio Mané,31,€45.00m, Bayern Munich ,Senegal,Left Winger
1611,Leroy Sané,27,€70.00m, Bayern Munich ,Germany,Right Winger
1612,Serge Gnabry,27,€55.00m, Bayern Munich ,Germany,Right Winger
1613,Thomas Müller,33,€18.00m, Bayern Munich ,Germany,Second Striker
1614,Mathys Tel,17,€20.00m, Bayern Munich ,France,Centre-Forward
1615,Eric Maxim Choupo-Moting,34,€6.00m, Bayern Munich ,Cameroon,Centre-Forward
1616,Gregor Kobel,25,€35.00m, Borussia Dortmund ,Switzerland,Goalkeeper
1617,Marcel Lotka,21,€1.30m, Borussia Dortmund ,Germany,Goalkeeper
1618,Alexander Meyer,32,€1.00m, Borussia Dortmund ,Germany,Goalkeeper
1619,Luca Unbehaun,22,€1.00m, Borussia Dortmund ,Germany,Goalkeeper
1620,Nico Schlotterbeck,23,€40.00m, Borussia Dortmund ,Germany,Centre-Back
1621,Niklas Süle,27,€35.00m, Borussia Dortmund ,Germany,Centre-Back
1622,Mats Hummels,34,€6.50m, Borussia Dortmund ,Germany,Centre-Back
1623,Soumaïla Coulibaly,19,€1.00m, Borussia Dortmund ,France,Centre-Back
1624,Antonios Papadopoulos,23,€600k, Borussia Dortmund ,Germany,Centre-Back
1625,Raphaël Guerreiro,29,€20.00m, Borussia Dortmund ,Portugal,Left-Back
1626,Tom Rothe,18,€3.50m, Borussia Dortmund ,Germany,Left-Back
1627,Nico Schulz,30,€2.00m, Borussia Dortmund ,Germany,Left-Back
1628,Julian Ryerson,25,€10.00m, Borussia Dortmund ,Norway,Right-Back
1629,Marius Wolf,27,€9.00m, Borussia Dortmund ,Germany,Right-Back
1630,Thomas Meunier,31,€6.50m, Borussia Dortmund ,Belgium,Right-Back
1631,Mateu Morey Bauzà,23,€1.50m, Borussia Dortmund ,Spain,Right-Back
1632,Felix Passlack,24,€1.50m, Borussia Dortmund ,Germany,Right-Back
1633,Salih Özcan,25,€17.00m, Borussia Dortmund ,Turkey,Defensive Midfield
1634,Emre Can,29,€14.00m, Borussia Dortmund ,Germany,Defensive Midfield
1635,Abdoulaye Kamara,18,€1.00m, Borussia Dortmund ,France,Defensive Midfield
1636,Jude Bellingham,19,€120.00m, Borussia Dortmund ,England,Central Midfield
1637,Mahmoud Dahoud,27,€12.00m, Borussia Dortmund ,Germany,Central Midfield
1638,Julian Brandt,26,€40.00m, Borussia Dortmund ,Germany,Attacking Midfield
1639,Giovanni Reyna,20,€28.00m, Borussia Dortmund ,United States,Attacking Midfield
1640,Marco Reus,33,€9.00m, Borussia Dortmund ,Germany,Attacking Midfield
1641,Göktan Gürpüz,20,€300k, Borussia Dortmund ,Turkey,Attacking Midfield
1642,Karim Adeyemi,21,€35.00m, Borussia Dortmund ,Germany,Left Winger
1643,Donyell Malen,24,€16.00m, Borussia Dortmund ,Netherlands,Left Winger
1644,Jamie Bynoe-Gittens,18,€14.00m, Borussia Dortmund ,England,Left Winger
1645,Julien Duranville,16,€5.00m, Borussia Dortmund ,Belgium,Right Winger
1646,Sébastien Haller,28,€30.00m, Borussia Dortmund ,Cote d'Ivoire,Centre-Forward
1647,Youssoufa Moukoko,18,€30.00m, Borussia Dortmund ,Germany,Centre-Forward
1648,Anthony Modeste,35,€1.00m, Borussia Dortmund ,France,Centre-Forward
1649,Péter Gulácsi,32,€6.00m, RB Leipzig ,Hungary,Goalkeeper
1650,Janis Blaswich,31,€2.00m, RB Leipzig ,Germany,Goalkeeper
1651,Örjan Nyland,32,€600k, RB Leipzig ,Norway,Goalkeeper
1652,Jonas Nickisch,18,€200k, RB Leipzig ,Germany,Goalkeeper
1653,Timo Schlieck,17,€200k, RB Leipzig ,Germany,Goalkeeper
1654,Oskar Preil,19, , RB Leipzig ,Germany,Goalkeeper
1655,Josko Gvardiol,21,€75.00m, RB Leipzig ,Croatia,Centre-Back
1656,Mohamed Simakan,22,€28.00m, RB Leipzig ,France,Centre-Back
1657,Abdou Diallo,26,€15.00m, RB Leipzig ,Senegal,Centre-Back
1658,Willi Orbán,30,€10.00m, RB Leipzig ,Hungary,Centre-Back
1659,David Raum,24,€20.00m, RB Leipzig ,Germany,Left-Back
1660,Marcel Halstenberg,31,€4.00m, RB Leipzig ,Germany,Left-Back
1661,Sanoussy Ba,19,€500k, RB Leipzig ,Germany,Left-Back
1662,Benjamin Henrichs,26,€15.00m, RB Leipzig ,Germany,Right-Back
1663,Lukas Klostermann,26,€12.00m, RB Leipzig ,Germany,Right-Back
1664,Konrad Laimer,25,€28.00m, RB Leipzig ,Austria,Central Midfield
1665,Xaver Schlager,25,€22.00m, RB Leipzig ,Austria,Central Midfield
1666,Amadou Haidara,25,€17.00m, RB Leipzig ,Mali,Central Midfield
1667,Kevin Kampl,32,€5.00m, RB Leipzig ,Slovenia,Central Midfield
1668,Dani Olmo,24,€40.00m, RB Leipzig ,Spain,Attacking Midfield
1669,Dominik Szoboszlai,22,€40.00m, RB Leipzig ,Hungary,Attacking Midfield
1670,Emil Forsberg,31,€9.00m, RB Leipzig ,Sweden,Attacking Midfield
1671,Caden Clark,19,€2.80m, RB Leipzig ,United States,Attacking Midfield
1672,Christopher Nkunku,25,€80.00m, RB Leipzig ,France,Second Striker
1673,Timo Werner,27,€25.00m, RB Leipzig ,Germany,Centre-Forward
1674,André Silva,27,€20.00m, RB Leipzig ,Portugal,Centre-Forward
1675,Yussuf Poulsen,28,€10.00m, RB Leipzig ,Denmark,Centre-Forward
1676,Lukas Hradecky,33,€2.50m, Bayer 04 Leverkusen ,Finland,Goalkeeper
1677,Patrick Pentz,26,€1.50m, Bayer 04 Leverkusen ,Austria,Goalkeeper
1678,Andrey Lunev,31,€1.50m, Bayer 04 Leverkusen ,Russia,Goalkeeper
1679,Niklas Lomb,29,€250k, Bayer 04 Leverkusen ,Germany,Goalkeeper
1680,Edmond Tapsoba,24,€30.00m, Bayer 04 Leverkusen ,Burkina Faso,Centre-Back
