,Player,Nation,Pos,Squad,Comp,Age
449,Matteo Cancellieri,ITA,2,Hellas Verona,Serie A,20
450,João Cancelo,POR,1,Manchester City,Premier League,28
451,Fali Candé,GNB,1,Metz,Ligue 1,24
452,Antonio Candreva,ITA,2,Sampdoria,Serie A,35
453,Sergi Canós,ESP,1,Brentford,Premier League,25
454,Álex Cantero,ESP,3,Levante,La Liga,21
455,Todd Cantwell,ENG,3,Norwich City,Premier League,24
456,Ander Capa,ESP,1,Athletic Club,La Liga,30
457,Pierrick Capelle,FRA,2,Angers,Ligue 1,35
458,Leonardo Capezzi,ITA,2,Salernitana,Serie A,27
459,Étienne Capoue,FRA,2,Villarreal,La Liga,33
460,Gianluca Caprari,ITA,3,Hellas Verona,Serie A,28
461,Francesco Caputo,ITA,3,Sassuolo,Serie A,34
462,Francesco Caputo,ITA,3,Sampdoria,Serie A,34
463,Maxence Caqueret,FRA,2,Lyon,Ligue 1,22
464,Andrea Carboni,ITA,1,Cagliari,Serie A,21
465,Isaac Carcelen,ESP,1,Cádiz,La Liga,29
466,Cárdenas,ESP,4,Levante,La Liga,25
467,Irvin Cardona,FRA,3,Brest,Ligue 1,24
468,Igor Carioca,BRA,1,Lorient,Ligue 1,25
469,Carlo,ESP,2,Villarreal,La Liga,21
470,Diego Carlos,BRA,1,Sevilla,La Liga,29
471,Carmona,ESP,1,Sevilla,La Liga,20
472,Yannick Carrasco,BEL,1,Atlético Madrid,La Liga,28
473,Guido Carrillo,ARG,3,Elche,La Liga,31
474,Dani Carvajal,ESP,1,Real Madrid,La Liga,30
475,William Carvalho,POR,2,Betis,La Liga,30
476,Nicolò Casale,ITA,1,Hellas Verona,Serie A,24
477,Casemiro,BRA,2,Real Madrid,La Liga,30
478,Matty Cash,POL,1,Aston Villa,Premier League,24
479,Kiko Casilla,ESP,4,Elche,La Liga,35
480,Moreto Cassamã,GNB,2,Reims,Ligue 1,24
481,Francesco Cassata,ITA,2,Genoa,Serie A,24
482,Timothy Castagne,BEL,1,Leicester City,Premier League,26
483,Koen Casteels,BEL,4,Wolfsburg,Bundesliga,29
484,Jean-Charles Castelletto,CMR,1,Nantes,Ligue 1,27
485,Samu Castillejo,ESP,3,Milan,Serie A,27
486,Gonzalo Castro,GER,2,Arminia,Bundesliga,34
487,Jonny Castro,ESP,1,Wolves,Premier League,28
488,Gaetano Castrovilli,ITA,2,Fiorentina,Serie A,25
489,Danilo Cataldi,ITA,2,Lazio,Serie A,27
490,Catena,ESP,1,Rayo Vallecano,La Liga,27
491,Craig Cathcart,NIR,1,Watford,Premier League,33
492,Edinson Cavani,URU,3,Manchester Utd,Premier League,35
493,Dani Ceballos,ESP,2,Real Madrid,La Liga,25
494,Pietro Ceccaroni,ITA,1,Venezia,Serie A,26
495,Federico Ceccherini,ITA,1,Hellas Verona,Serie A,30
496,Emil Ceide,NOR,3,Sassuolo,Serie A,20
497,Zeki Çelik,TUR,1,Lille,Ligue 1,25
498,Fabien Centonze,FRA,1,Metz,Ligue 1,26
499,Luca Ceppitelli,ITA,1,Cagliari,Serie A,32
500,Franco Cervi,ARG,2,Celta Vigo,La Liga,28
501,Leonardo César Jardim,BRA,4,Lille,Ligue 1,27
502,Damir Ceter,COL,3,Cagliari,Serie A,24
503,Julian Chabot,GER,1,Sampdoria,Serie A,24
504,Julian Chabot,GER,1,Köln,Bundesliga,24
505,El Chadaille Bitshiabu,FRA,1,Paris S-G,Ligue 1,17
506,Nassim Chadli,FRA,2,Troyes,Ligue 1,20
507,Kayky Chagas,BRA,3,Manchester City,Premier League,18
508,Mehdi Chahiri,MAR,2,Strasbourg,Ligue 1,25
509,Trevoh Chalobah,ENG,1,Chelsea,Premier League,22
510,Calum Chambers,ENG,1,Aston Villa,Premier League,27
511,Calum Chambers,ENG,1,Arsenal,Premier League,27
512,Dylan Chambost,FRA,2,Troyes,Ligue 1,24
513,Timothy Chandler,USA,1,Eint Frankfurt,Bundesliga,32
514,Chapela,ESP,2,Cádiz,La Liga,23
515,Brendan Chardonnet,FRA,1,Brest,Ligue 1,27
516,Xavier Chavalerin,FRA,2,Reims,Ligue 1,31
517,Xavier Chavalerin,FRA,2,Troyes,Ligue 1,31
518,Justin Che,USA,1,Hoffenheim,Bundesliga,18
519,Chema,ESP,2,Getafe,La Liga,30
520,Rayan Cherki,FRA,3,Lyon,Ligue 1,18
521,Denis Cheryshev,RUS,2,Valencia,La Liga,31
522,Daniel Chesters,ENG,2,West Ham,Premier League,20
523,Giorgio Chiellini,ITA,1,Juventus,Serie A,37
524,Federico Chiesa,ITA,2,Juventus,Serie A,24
525,Ben Chilwell,ENG,1,Chelsea,Premier League,25
526,Chiquinho,POR,1,Wolves,Premier League,22
527,Vlad Chiriche?,ROU,1,Sassuolo,Serie A,32
528,Pedro Chirivella,ESP,2,Nantes,Ligue 1,25
529,Joris Chotard,FRA,2,Montpellier,Ligue 1,20
530,Hamza Choudhury,ENG,1,Leicester City,Premier League,24
531,Andreas Christensen,DEN,1,Chelsea,Premier League,26
532,Max Christiansen,GER,2,Greuther Fürth,Bundesliga,25
533,Carney Chukwuemeka,ENG,2,Aston Villa,Premier League,18
534,Samuel Chukwueze,NGA,2,Villarreal,La Liga,23
535,Víctor Chust,ESP,1,Cádiz,La Liga,22
536,Riccardo Ciervo,ITA,2,Sampdoria,Serie A,20
537,Jasper Cillessen,NED,4,Valencia,La Liga,33
538,Pathé Ciss,SEN,2,Rayo Vallecano,La Liga,28
539,Moustapha Cissé,GUI,3,Atalanta,Serie A,18
540,Giorgio Cittadini,ITA,1,Atalanta,Serie A,20
541,Ciaran Clark,IRL,1,Newcastle Utd,Premier League,32
542,Alexis Claude-Maurice,FRA,2,Nice,Ligue 1,23
543,Jonathan Clauss,FRA,1,Lens,Ligue 1,29
544,Carlos Clerc,ESP,1,Levante,La Liga,30
545,Tom Cleverley,ENG,2,Watford,Premier League,32
546,Nathaniel Clyne,ENG,1,Crystal Palace,Premier League,31
547,Conor Coady,ENG,1,Wolves,Premier League,29
548,Marcus Coco,FRA,3,Nantes,Ligue 1,25
549,Coke,ESP,1,Levante,La Liga,35
550,Séamus Coleman,IRL,1,Everton,Premier League,33
551,Álex Collado,ESP,2,Granada,La Liga,23
552,Ebrima Colley,GAM,3,Spezia,Serie A,22
553,Omar Colley,GAM,1,Sampdoria,Serie A,29
554,Nathan Collins,IRL,1,Burnley,Premier League,21
555,Kingsley Coman,FRA,3,Bayern Munich,Bundesliga,25
556,Eray Cömert,SUI,1,Valencia,La Liga,24
557,Santi Comesaña,ESP,2,Rayo Vallecano,La Liga,25
558,Diego Conde,ESP,4,Getafe,La Liga,23
559,Aaron Connolly,IRL,3,Brighton,Premier League,22
560,Andrea Consigli,ITA,4,Sassuolo,Serie A,35
561,Abdu Conté,POR,1,Troyes,Ligue 1,24
562,Andrea Conti,ITA,1,Milan,Serie A,28
563,Andrea Conti,ITA,1,Sampdoria,Serie A,28
564,Liam Cooper,SCO,1,Leeds United,Premier League,30
565,Lucas Copado,GER,3,Bayern Munich,Bundesliga,18
566,Diego Coppola,ITA,1,Hellas Verona,Serie A,18
567,Francis Coquelin,FRA,2,Villarreal,La Liga,31
568,Sébastien Corchia,FRA,1,Nantes,Ligue 1,31
569,Sergio Córdova,VEN,3,Augsburg,Bundesliga,24
570,Jack Cork,ENG,2,Burnley,Premier League,32
571,Maxwel Cornet,CIV,3,Burnley,Premier League,25
572,Maxwel Cornet,CIV,1,Lyon,Ligue 1,25
573,Jesús Corona,MEX,3,Sevilla,La Liga,29
574,Ángel Correa,ARG,3,Atlético Madrid,La Liga,27
575,Joaquín Correa,ARG,3,Inter,Serie A,27
576,Thierry Correia,POR,1,Valencia,La Liga,23
577,Danny da Costa,GER,1,Eint Frankfurt,Bundesliga,28
578,David Pereira da Costa,POR,2,Lens,Ligue 1,21
579,Hélder Costa,ANG,2,Valencia,La Liga,28
580,Hélder Costa,ANG,2,Leeds United,Premier League,28
581,Jaume Costa,ESP,1,Mallorca,La Liga,34
582,Benoît Costil,FRA,4,Bordeaux,Ligue 1,34
583,Vladimír Coufal,CZE,1,West Ham,Premier League,29
584,Kalifa Coulibaly,MLI,3,Nantes,Ligue 1,30
585,Lassana Coulibaly,MLI,2,Salernitana,Serie A,26
586,Mamadou Coulibaly,SEN,2,Salernitana,Serie A,23
587,Tanguy Coulibaly,FRA,1,Stuttgart,Bundesliga,21
588,Thibaut Courtois,BEL,4,Real Madrid,La Liga,30
589,Philippe Coutinho,BRA,2,Aston Villa,Premier League,29
590,Philippe Coutinho,BRA,2,Barcelona,La Liga,29
591,Nicolas Cozza,FRA,1,Montpellier,Ligue 1,23
592,Alessio Cragno,ITA,4,Cagliari,Serie A,27
593,Aaron Cresswell,ENG,1,West Ham,Premier League,32
594,Charlie Cresswell,ENG,1,Leeds United,Premier League,19
595,Domenico Criscito,ITA,1,Genoa,Serie A,35
596,Bryan Cristante,ITA,2,Roma,Serie A,27
597,Cristo,ESP,1,Real Sociedad,La Liga,22
598,Enzo Crivelli,FRA,3,Saint-Étienne,Ligue 1,27
599,Domen ?rnigoj,SVN,2,Venezia,Serie A,26
600,Giovanni Crociata,ITA,3,Empoli,Serie A,24
601,Juan Cruz Armada,ESP,1,Osasuna,La Liga,29
602,Juan Cuadrado,COL,1,Juventus,Serie A,34
603,Cucho,COL,3,Watford,Premier League,23
604,Marc Cucurella,ESP,1,Brighton,Premier League,23
605,Marc Cucurella,ESP,3,Getafe,La Liga,23
606,Jorge Cuenca,ESP,1,Getafe,La Liga,22
607,Mickaël Cuisance,FRA,2,Venezia,Serie A,22
608,Mickaël Cuisance,FRA,2,Bayern Munich,Bundesliga,22
609,Luke Cundle,ENG,2,Wolves,Premier League,20
610,Matheus Cunha,BRA,3,Hertha BSC,Bundesliga,23
611,Matheus Cunha,BRA,3,Atlético Madrid,La Liga,23
612,Patrick Cutrone,ITA,3,Empoli,Serie A,24
613,Wylan Cyprien,FRA,2,Nantes,Ligue 1,27
614,Rafael Czichos,GER,1,Köln,Bundesliga,32
615,Lennart-Marten Czyborra,GER,1,Arminia,Bundesliga,23
616,Danilo D'Ambrosio,ITA,1,Inter,Serie A,33
617,Lucas Da Cunha,FRA,3,Clermont Foot,Ligue 1,20
618,Lucas Da Cunha,FRA,2,Nice,Ligue 1,20
619,Damien Da Silva,FRA,1,Lyon,Ligue 1,34
620,Moanes Dabbur,ISR,3,Hoffenheim,Bundesliga,30
621,Colin Dagba,FRA,1,Paris S-G,Ligue 1,23
622,Finn Dahmen,GER,4,Mainz 05,Bundesliga,24
623,Mahmoud Dahoud,GER,2,Dortmund,Bundesliga,26
624,Patson Daka,ZAM,3,Leicester City,Premier League,23
625,Stuart Dallas,NIR,1,Leeds United,Premier League,31
626,Diogo Dalot,POR,1,Manchester Utd,Premier League,23
627,Mikkel Damsgaard,DEN,2,Sampdoria,Serie A,21
628,Flavius Daniliuc,AUT,1,Nice,Ligue 1,21
629,Danilo,BRA,1,Juventus,Serie A,30
630,Kevin Danso,AUT,1,Lens,Ligue 1,23
631,Dante,BRA,1,Nice,Ligue 1,38
632,Ebrima Darboe,GAM,2,Roma,Serie A,20
633,Márton Dárdai,GER,1,Hertha BSC,Bundesliga,20
634,Sergi Darder,ESP,2,Espanyol,La Liga,28
635,Vladimír Darida,CZE,2,Hertha BSC,Bundesliga,31
636,Karl Darlow,ENG,4,Newcastle Utd,Premier League,31
637,Matteo Darmian,ITA,1,Inter,Serie A,32
638,Josh Dasilva,ENG,2,Brentford,Premier League,23
639,Jonathan David,CAN,3,Lille,Ligue 1,22
640,Alphonso Davies,CAN,1,Bayern Munich,Bundesliga,21
641,Ben Davies,WAL,1,Tottenham,Premier League,29
642,Tom Davies,ENG,2,Everton,Premier League,23
643,Keinan Davis,ENG,3,Aston Villa,Premier League,24
644,Pawe? Dawidowicz,POL,1,Hellas Verona,Serie A,27
645,Craig Dawson,ENG,1,West Ham,Premier League,32
646,Kevin De Bruyne,BEL,2,Manchester City,Premier League,30
647,Konrad De La Fuente,USA,3,Marseille,Ligue 1,20
648,Sebastien De Maio,FRA,1,Udinese,Serie A,35
649,Tommaso De Nipoti,ITA,2,Atalanta,Serie A,18
650,Rodrigo De Paul,ARG,2,Atlético Madrid,La Liga,28
651,Mattia De Sciglio,ITA,1,Juventus,Serie A,29
652,Lorenzo De Silvestri,ITA,1,Bologna,Serie A,34
653,Saulo Decarli,SUI,1,Bochum,Bundesliga,30
654,Troy Deeney,ENG,3,Watford,Premier League,33
655,Grégoire Defrel,MTQ,3,Sassuolo,Serie A,30
656,Alessandro Deiola,ITA,2,Cagliari,Serie A,26
657,Romain Del Castillo,FRA,2,Brest,Ligue 1,26
658,Romain Del Castillo,FRA,2,Rennes,Ligue 1,26
659,Thomas Delaine,FRA,1,Metz,Ligue 1,30
660,Thomas Delaney,DEN,2,Dortmund,Bundesliga,30
661,Thomas Delaney,DEN,2,Sevilla,La Liga,30
662,Liam Delap,ENG,3,Manchester City,Premier League,19
663,Sacha Delaye,FRA,2,Montpellier,Ligue 1,20
664,Filippo Delli Carri,ITA,1,Salernitana,Serie A,23
665,Andy Delort,ALG,3,Nice,Ligue 1,30
666,Andy Delort,ALG,3,Montpellier,Ligue 1,30
667,Fabian Delph,ENG,2,Everton,Premier League,32
668,Moussa Dembélé,FRA,3,Lyon,Ligue 1,25
669,Ousmane Dembélé,FRA,3,Barcelona,La Liga,25
670,Yusuf Demir,AUT,3,Barcelona,La Liga,18
671,Merih Demiral,TUR,1,Atalanta,Serie A,24
672,Kerem Demirbay,GER,2,Leverkusen,Bundesliga,28
673,Ermedin Demirovi?,BIH,3,Freiburg,Bundesliga,24
674,Diego Demme,GER,2,Napoli,Serie A,30
675,Jason Denayer,BEL,1,Lyon,Ligue 1,26
676,Leander Dendoncker,BEL,2,Wolves,Premier League,27
677,Emmanuel Dennis,NGA,3,Watford,Premier League,24
678,Fabio Depaoli,ITA,2,Sampdoria,Serie A,25
679,Fabio Depaoli,ITA,1,Hellas Verona,Serie A,25
680,Memphis Depay,NED,3,Barcelona,La Liga,28
681,Mike van der Hoorn,NED,1,Arminia,Bundesliga,29
682,Arthur Desmas,FRA,4,Clermont Foot,Ligue 1,28
683,Sergiño Dest,USA,1,Barcelona,La Liga,21
684,Mattia Destro,ITA,3,Genoa,Serie A,31
685,Gerard Deulofeu,ESP,3,Udinese,Serie A,28
686,Kiernan Dewsbury Hall,ENG,2,Leicester City,Premier League,23
687,Jacopo Dezi,ITA,2,Venezia,Serie A,30
688,Samuel Di Carmine,ITA,3,Hellas Verona,Serie A,33
689,Federico Di Francesco,ITA,3,Empoli,Serie A,27
690,Giovanni Di Lorenzo,ITA,1,Napoli,Serie A,28
691,Ángel Di María,ARG,3,Paris S-G,Ligue 1,34
692,Francesco Di Mariano,ITA,3,Venezia,Serie A,26
693,Francesco Di Tacchio,ITA,2,Salernitana,Serie A,32
694,Boulaye Dia,SEN,3,Villarreal,La Liga,25
695,Moussa Diaby,FRA,3,Leverkusen,Bundesliga,22
696,Yadaly Diaby,FRA,3,Clermont Foot,Ligue 1,21
697,Mouctar Diakhaby,FRA,1,Valencia,La Liga,25
698,Ibrahim Diakité,FRA,2,Reims,Ligue 1,18
699,Abdou Diallo,SEN,1,Paris S-G,Ligue 1,26
700,Habib Diallo,SEN,3,Strasbourg,Ligue 1,26
701,Ibrahima Diallo,FRA,2,Southampton,Premier League,23
702,Mouhamadou Diarra,SEN,2,Strasbourg,Ligue 1,18
703,Stéphane Diarra,FRA,3,Lorient,Ligue 1,23
704,Raphael Dias Belloli,BRA,3,Leeds United,Premier League,25
705,Rúben Dias,POR,1,Manchester City,Premier League,25
706,Krepin Diatta,SEN,2,Monaco,Ligue 1,23
707,Amadou Diawara,GUI,2,Roma,Serie A,24
708,Brahim Díaz,ESP,2,Milan,Serie A,22
709,Javier Díaz,ESP,4,Sevilla,La Liga,25
710,Luis Díaz,COL,3,Liverpool,Premier League,25
711,Víctor Díaz,ESP,1,Granada,La Liga,33
712,Daniel Didavi,GER,3,Stuttgart,Bundesliga,32
713,Bamba Dieng,SEN,3,Marseille,Ligue 1,22
714,Eric Dier,ENG,1,Tottenham,Premier League,28
715,Elhadji Dieye,SEN,2,Saint-Étienne,Ligue 1,19
716,Lucas Digne,FRA,1,Aston Villa,Premier League,28
717,Lucas Digne,FRA,1,Everton,Premier League,28
718,Virgil van Dijk,NED,1,Liverpool,Premier League,30
719,Mitchell Dijks,NED,1,Bologna,Serie A,29
720,Javairô Dilrosun,NED,3,Hertha BSC,Bundesliga,23
721,Javairô Dilrosun,NED,2,Bordeaux,Ligue 1,23
722,Federico Dimarco,ITA,1,Inter,Serie A,24
723,Landry Dimata,BEL,3,Espanyol,La Liga,24
724,Stole Dimitrievski,MKD,4,Rayo Vallecano,La Liga,28
725,Junior Dina Ebimbe,FRA,2,Paris S-G,Ligue 1,21
726,Tristan Dingomé,CMR,2,Troyes,Ligue 1,31
727,Sinaly Diomande,CIV,1,Lyon,Ligue 1,21
728,Issa Diop,FRA,1,West Ham,Premier League,25
729,Sofiane Diop,FRA,2,Monaco,Ligue 1,21
730,Andy Diouf,FRA,2,Rennes,Ligue 1,20
731,Assane Dioussé,SEN,2,Saint-Étienne,Ligue 1,24
732,Axel Disasi,FRA,1,Monaco,Ligue 1,24
733,Filippo Distefano,ITA,3,Fiorentina,Serie A,18
734,Matías Dituro,ARG,4,Celta Vigo,La Liga,35
735,Tiago Djaló,POR,1,Lille,Ligue 1,22
736,Djené,TOG,1,Getafe,La Liga,30
737,Moussa Djenepo,MLI,2,Southampton,Premier League,23
738,Koffi Djidji,CIV,1,Torino,Serie A,29
739,Alexander Djiku,GHA,1,Strasbourg,Ligue 1,27
740,Bryan Djile Nokoué,CMR,1,Saint-Étienne,Ligue 1,20
741,Berat Djimsiti,ALB,1,Atalanta,Serie A,29
742,Ouparine Djoco,SEN,4,Clermont Foot,Ligue 1,24
743,Naïs Djouahra,FRA,3,Real Sociedad,La Liga,22
744,Marko Dmitrovi?,SRB,4,Sevilla,La Liga,30
745,Lewis Dobbin,ENG,3,Everton,Premier League,19
746,Matt Doherty,IRL,1,Tottenham,Premier League,30
747,Jeremy Doku,BEL,3,Rennes,Ligue 1,20
748,Kasper Dolberg,DEN,3,Nice,Ligue 1,24
749,Jaume Doménech,ESP,4,Valencia,La Liga,31
750,Brandon Domingues,FRA,2,Troyes,Ligue 1,21
751,Carlos Dominguez,ESP,1,Celta Vigo,La Liga,21
752,Mario Dominguez,ESP,3,Valencia,La Liga,18
753,Nicolás Domínguez,ARG,2,Bologna,Serie A,23
754,John Donald,ESP,1,Elche,La Liga,21
755,Lee Dongjun,KOR,2,Hertha BSC,Bundesliga,25
756,Anastasios Donis,GRE,3,Reims,Ligue 1,25
757,Gianluigi Donnarumma,ITA,4,Paris S-G,Ligue 1,23
758,Niklas Dorsch,GER,2,Augsburg,Bundesliga,24
759,Gabriel Dos Santos,BRA,1,Arsenal,Premier League,24
760,Jodel Dossou,BEN,3,Clermont Foot,Ligue 1,30
761,Lucas Douath,FRA,2,Saint-Étienne,Ligue 1,18
762,Lohann Doucet,FRA,2,Nantes,Ligue 1,19
763,Abdoulaye Doucouré,MLI,2,Everton,Premier League,29
764,Cheick Doucouré,MLI,2,Lens,Ligue 1,22
765,Fodé Doucouré,MLI,1,Reims,Ligue 1,21
766,Ismaël Doukouré,FRA,1,Strasbourg,Ligue 1,18
767,Kamory Doumbia,FRA,2,Reims,Ligue 1,19
768,Moussa Doumbia,MLI,3,Reims,Ligue 1,27
769,Souleyman Doumbia,CIV,1,Angers,Ligue 1,25
770,Kieran Dowell,ENG,3,Norwich City,Premier League,24
771,Bart?omiej Dr?gowski,POL,4,Fiorentina,Serie A,24
772,Radu Dr?gu?in,ROU,1,Salernitana,Serie A,20
773,Radu Dr?gu?in,ROU,1,Sampdoria,Serie A,20
774,Cody Drameh,ENG,1,Leeds United,Premier League,20
775,Julian Draxler,GER,3,Paris S-G,Ligue 1,28
776,Matthieu Dreyer,FRA,4,Lorient,Ligue 1,33
777,Domingos Duarte,POR,1,Granada,La Liga,27
778,Óscar Duarte,CRC,1,Levante,La Liga,32
779,Rubén Duarte,ESP,1,Alavés,La Liga,26
780,Leo Dubois,FRA,1,Lyon,Ligue 1,27
781,Martin Dúbravka,SVK,4,Newcastle Utd,Premier League,33
782,Ondrej Duda,SVK,2,Köln,Bundesliga,27
783,Jeremy Dudziak,TUN,2,Greuther Fürth,Bundesliga,26
784,Shane Duffy,IRL,1,Brighton,Premier League,30
785,Unai Dufur,ESP,1,Osasuna,La Liga,23
786,Denzel Dumfries,NED,1,Inter,Serie A,26
787,Paul Dummett,WAL,1,Newcastle Utd,Premier League,30
788,Alfred Duncan,GHA,2,Fiorentina,Serie A,29
789,Lewis Dunk,ENG,1,Brighton,Premier League,30
790,Erik Durm,GER,1,Eint Frankfurt,Bundesliga,30
791,Hugo Duro,ESP,3,Valencia,La Liga,22
792,Hugo Duro,ESP,1,Getafe,La Liga,22
793,Jean-Kevin Duverne,FRA,1,Brest,Ligue 1,24
794,Paulo Dybala,ARG,3,Juventus,Serie A,28
795,Edin D?eko,BIH,3,Inter,Serie A,36
796,Enzo Ebosse,CMR,1,Angers,Ligue 1,23
797,Tyronne Ebuehi,NGA,1,Venezia,Serie A,26
798,Éderson,BRA,2,Salernitana,Serie A,22
799,Ederson,BRA,4,Manchester City,Premier League,28
800,Odsonne Édouard,FRA,3,Crystal Palace,Premier League,24
801,CJ Egan-Riley,ENG,1,Manchester City,Premier League,19
802,Maximilian Eggestein,GER,2,Freiburg,Bundesliga,25
803,Lilian Egloff,GER,3,Stuttgart,Bundesliga,19
804,Kingsley Ehizibue,NED,1,Köln,Bundesliga,27
805,Julian Eitschberger,GER,1,Hertha BSC,Bundesliga,18
806,Albin Ekdal,SWE,2,Sampdoria,Serie A,32
807,Hugo Ekitike,FRA,3,Reims,Ligue 1,19
808,Jurgen Ekkelenkamp,NED,2,Hertha BSC,Bundesliga,22
809,Caleb Ekuban,GHA,3,Genoa,Serie A,28
810,Anthony Elanga,SWE,3,Manchester Utd,Premier League,20
811,Alberth Elis,HON,3,Bordeaux,Ligue 1,26
812,Harvey Elliott,ENG,2,Liverpool,Premier League,19
813,Elif Elmas,MKD,3,Napoli,Serie A,22
814,Mohamed Elneny,EGY,2,Arsenal,Premier League,29
815,Aritz Elustondo,ESP,1,Real Sociedad,La Liga,28
816,Nico Elvedi,SUI,1,M'Gladbach,Bundesliga,25
817,Sepe Elye Wahi,FRA,3,Montpellier,Ligue 1,19
818,Mohamed Elyounoussi,NOR,2,Southampton,Premier League,27
819,Adri Embarba,ESP,3,Espanyol,La Liga,30
820,Breel Embolo,SUI,3,M'Gladbach,Bundesliga,25
821,Emerson,BRA,1,Tottenham,Premier League,23
822,Emerson,BRA,1,Barcelona,La Liga,23
823,Renaud Emond,BEL,2,Nantes,Ligue 1,30
824,Youssef En-Nesyri,MAR,3,Sevilla,La Liga,24
825,Keita Endo,JPN,2,Union Berlin,Bundesliga,24
826,Wataru Endo,JPN,2,Stuttgart,Bundesliga,29
827,Christian Eriksen,DEN,2,Brentford,Premier League,30
828,Martin Erlic,CRO,1,Spezia,Serie A,24
829,Gonzalo Escalante,ARG,2,Lazio,Serie A,29
830,Gonzalo Escalante,ARG,2,Alavés,La Liga,29
831,Aarón Escandell,ESP,4,Granada,La Liga,26
832,Sergio Escudero,ESP,1,Granada,La Liga,32
833,Alfonso Espino,URU,1,Cádiz,La Liga,30
834,Michael Esser,GER,4,Bochum,Bundesliga,34
835,Estanis,ESP,3,Barcelona,La Liga,18
836,Maxime Estève,FRA,1,Montpellier,Ligue 1,20
837,Pervis Estupiñán,ECU,1,Villarreal,La Liga,24
838,Oghenekaro Etebo,NGA,2,Watford,Premier League,26
839,Jonny Evans,NIR,1,Leicester City,Premier League,34
840,Eberechi Eze,ENG,2,Crystal Palace,Premier League,23
841,Abdessamad Ezzalzouli,MAR,3,Barcelona,La Liga,20
842,?ukasz Fabia?ski,POL,4,West Ham,Premier League,37
843,Fabinho,BRA,2,Liverpool,Premier League,28
844,Fábio,BRA,1,Nantes,Ligue 1,31
845,Cesc Fàbregas,ESP,2,Monaco,Ligue 1,35
846,Wout Faes,BEL,1,Reims,Ligue 1,24
847,Wahidullah Faghir,DEN,3,Stuttgart,Bundesliga,18
848,Romain Faivre,FRA,2,Brest,Ligue 1,23
849,Romain Faivre,FRA,3,Lyon,Ligue 1,23
850,Radamel Falcao,COL,3,Rayo Vallecano,La Liga,36
851,Diego Falcinelli,ITA,3,Bologna,Serie A,30
852,Wladimiro Falcone,ITA,4,Sampdoria,Serie A,27
853,Fali,ESP,1,Cádiz,La Liga,28
854,Paolo Faragò,ITA,2,Cagliari,Serie A,29
855,Omar Faraj,SWE,3,Levante,La Liga,20
856,Davide Faraoni,ITA,1,Hellas Verona,Serie A,30
857,Mohamed Fares,ALG,1,Genoa,Serie A,26
858,Diego Farias,BRA,2,Cagliari,Serie A,32
859,Wuilker Faríñez,VEN,4,Lens,Ligue 1,24
860,Ömer Faruk Beyaz,TUR,3,Stuttgart,Bundesliga,18
861,Noah Fatar,FRA,1,Angers,Ligue 1,20
862,Ansu Fati,ESP,3,Barcelona,La Liga,19
863,Julien Faussurier,FRA,2,Brest,Ligue 1,35
864,Andrea Favilli,ITA,3,Genoa,Serie A,25
865,Federico Fazio,ARG,1,Salernitana,Serie A,35
866,Aleix Febas,ESP,2,Mallorca,La Liga,26
867,Adrian Fein,GER,2,Greuther Fürth,Bundesliga,23
868,Nabil Fekir,FRA,2,Betis,La Liga,28
869,Felipe,BRA,1,Atlético Madrid,La Liga,33
870,Luiz Felipe,ITA,1,Lazio,Serie A,25
871,Ohis Felix Uduokhai,GER,1,Augsburg,Bundesliga,24
872,João Félix,POR,3,Atlético Madrid,La Liga,22
873,Kiko Femenía,ESP,1,Watford,Premier League,31
874,Evan Ferguson,IRL,2,Brighton,Premier League,17
875,Nathan Ferguson,ENG,1,Crystal Palace,Premier League,21
876,Bruno Fernandes,POR,2,Manchester Utd,Premier League,27
877,Edimilson Fernandes,SUI,1,Arminia,Bundesliga,26
878,Aitor Fernández,ESP,4,Levante,La Liga,31
879,Álex Fernández,ESP,2,Cádiz,La Liga,29
880,Álvaro Fernández,ESP,4,Brentford,Premier League,24
881,Federico Fernández,ARG,1,Newcastle Utd,Premier League,33
882,Fernandinho,BRA,2,Manchester City,Premier League,37
883,Fernando,BRA,2,Sevilla,La Liga,34
884,Alex Ferrari,ITA,1,Sampdoria,Serie A,27
885,Salvador Ferrer,ESP,1,Spezia,Serie A,24
886,Jordan Ferri,FRA,2,Montpellier,Ligue 1,30
887,Riccardo Fiamozzi,ITA,1,Empoli,Serie A,29
888,Fidel,ESP,2,Elche,La Liga,32
889,Karol Fila,POL,1,Strasbourg,Ligue 1,23
890,Alfre? Finnbogason,ISL,3,Augsburg,Bundesliga,33
891,Luca Fiordilino,ITA,2,Venezia,Serie A,25
892,Vincenzo Fiorillo,ITA,4,Salernitana,Serie A,32
893,Roberto Firmino,BRA,3,Liverpool,Premier League,30
894,Junior Firpo,ESP,1,Leeds United,Premier League,25
895,Mark Flekken,NED,4,Freiburg,Bundesliga,28
896,Ashley Fletcher,ENG,3,Watford,Premier League,26
897,Alexis Flips,FRA,3,Reims,Ligue 1,22
898,Alessandro Florenzi,ITA,1,Milan,Serie A,31
899,Phil Foden,ENG,3,Manchester City,Premier League,22
900,Mamadou Fofana,MLI,1,Metz,Ligue 1,24
901,Seko Fofana,CIV,2,Lens,Ligue 1,27
902,Wesley Fofana,FRA,1,Leicester City,Premier League,21
903,Youssouf Fofana,FRA,2,Monaco,Ligue 1,23
