,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id
764,Cheick Doucouré,3000000000,MLI,2,N/A,Lens,Ligue 1,22,34.0,33.0,2946.0,0.03,0.95,0.34,35.5,0.03,22.1,0.0,0.0,0.0,52.0,87.6,90.3,90.4,78.7,0.12,0.76,0.0,59.3,0.83,9.66,1.22,0.09,0.0,3.43,52.9,2.11,2.63,0.21,1.35,1.04,0.24,0.8,39.4,15.2,0.95,0.21,0.0,2.26,4.89,2.02,14.1,47.4,11.7,0.8,1.13,70.3,46.1,262.0,143.6,0.73,50.3,95.2,0.21,0.03,0.0,1.44,0.89,0.0,0.09,0.0,0.0,0.67,0.73,47.8,765,765
766,Ismaël Doukouré,300000000,FRA,1,N/A,Strasbourg,Ligue 1,18,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.3,0.0,100.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,10.0,0.0,0.0,0.0,0.0,5.0,25.0,25.0,0.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,40.0,767,767
767,Kamory Doumbia,250000000,FRA,2,FW,Reims,Ligue 1,19,8.0,2.0,352.0,0.51,1.03,0.51,50.0,0.5,15.9,0.0,0.0,0.0,35.4,81.7,85.5,83.3,74.1,0.26,0.77,0.51,43.3,1.03,8.72,2.05,0.77,1.54,6.15,34.1,1.79,2.05,0.26,1.03,1.28,0.51,0.77,25.0,21.5,2.31,0.77,0.0,2.82,5.64,2.31,16.2,32.8,19.0,1.03,2.31,44.4,41.8,191.8,111.3,2.31,41.8,88.6,0.26,0.0,0.0,0.51,1.28,0.26,0.77,0.0,0.0,1.03,1.28,44.4,768,768
769,Souleyman Doumbia,300000000,CIV,1,N/A,Angers,Ligue 1,25,27.0,27.0,2219.0,0.0,0.57,0.12,21.4,0.0,20.1,0.0,0.0,0.0,37.0,83.0,91.2,86.5,54.0,0.04,0.69,0.49,44.6,0.28,5.51,0.4,1.78,0.0,30.9,5.3,1.42,1.42,0.08,0.61,0.45,0.24,0.53,41.9,10.7,2.35,0.16,0.0,2.23,3.52,2.79,17.0,28.4,16.5,1.94,3.32,58.5,38.6,208.9,122.1,1.82,35.9,92.9,0.4,0.04,0.0,0.89,1.09,0.04,1.78,0.08,0.0,0.69,0.65,51.5,770,770
775,Julian Draxler,800000000,GER,3,MF,Paris S-G,Ligue 1,28,18.0,5.0,548.0,0.33,1.48,0.49,33.3,0.22,14.6,0.0,0.0,0.0,45.1,91.1,93.4,91.8,75.9,0.16,0.82,0.16,49.5,0.16,8.69,1.31,0.66,0.49,5.25,43.6,1.48,2.62,0.33,0.0,0.49,0.16,0.16,16.7,8.2,0.66,0.0,0.0,0.66,1.31,0.82,6.39,32.0,23.3,1.8,2.79,64.7,46.7,228.2,100.8,1.8,48.7,85.6,0.0,0.0,0.0,0.82,0.16,0.16,0.66,0.0,0.0,0.33,0.66,33.3,776,776
777,Domingos Duarte,800000000,POR,1,N/A,Granada,La Liga,27,21.0,19.0,1687.0,0.05,0.32,0.05,16.7,0.17,8.7,0.0,0.0,0.0,29.3,78.1,84.9,85.6,61.9,0.0,0.0,0.0,37.5,1.76,5.13,1.28,0.0,0.0,2.19,30.3,0.96,0.37,0.0,0.59,0.43,0.05,0.32,60.0,6.52,1.76,1.12,0.05,1.39,2.46,8.45,26.4,22.8,1.5,0.05,0.16,33.3,23.9,125.4,57.3,0.05,25.7,97.8,0.37,0.05,0.0,1.55,0.86,0.0,0.0,0.16,0.0,2.57,1.39,64.9,778,778
781,Martin Dúbravka,250000000,SVK,4,N/A,Newcastle Utd,Premier League,33,26.0,26.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,63.3,100.0,98.5,46.6,0.0,0.0,0.0,32.5,4.04,2.27,0.88,0.0,0.0,1.69,25.7,0.19,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,28.0,34.2,0.46,0.0,0.0,0.0,0.0,14.9,87.6,45.6,0.0,12.5,100.0,0.04,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782,782
782,Ondrej Duda,400000000,SVK,2,N/A,Köln,Bundesliga,27,31.0,20.0,1611.0,0.11,2.35,0.84,35.7,0.05,19.1,0.0,0.0,0.0,28.3,74.3,82.3,72.5,67.5,0.0,1.17,0.22,38.0,0.67,7.65,1.17,0.73,1.01,5.31,29.2,2.12,3.46,0.06,0.22,0.67,0.34,0.45,29.6,20.9,0.89,0.11,0.0,1.56,2.79,0.89,6.15,27.9,20.6,2.23,3.41,65.6,36.3,163.5,61.1,2.12,33.7,73.8,0.28,0.0,0.0,2.35,2.01,0.0,0.73,0.0,0.0,1.4,2.07,40.3,783,783
783,Jeremy Dudziak,900000,TUN,2,FW,Greuther Fürth,Bundesliga,26,22.0,15.0,1134.0,0.16,1.27,0.32,25.0,0.13,13.9,0.0,0.0,0.0,17.6,67.5,78.1,75.8,36.0,0.0,0.63,0.4,26.1,1.11,6.9,0.24,1.83,1.35,21.3,2.7,1.51,2.22,0.24,0.56,0.63,0.24,0.4,31.3,22.9,1.11,0.0,0.0,1.27,2.7,0.48,5.79,19.3,16.4,1.27,2.78,45.7,23.8,119.7,59.5,2.14,23.6,71.7,0.08,0.0,0.0,1.11,2.14,0.24,1.83,0.0,0.0,1.27,1.67,43.2,784,784
784,Shane Duffy,250000000,IRL,1,N/A,Brighton,Premier League,30,18.0,15.0,1436.0,0.06,1.31,0.31,23.8,0.05,9.4,0.0,0.0,0.0,55.9,88.8,92.9,93.6,75.9,0.0,0.13,0.0,62.9,0.75,5.13,1.63,0.0,0.0,4.44,52.4,0.81,0.5,0.13,0.75,0.06,0.19,0.31,38.5,5.31,2.19,1.19,0.06,1.13,2.13,12.1,45.1,29.3,3.81,0.13,0.13,100.0,44.0,179.9,93.9,0.06,52.5,97.8,0.44,0.0,0.0,1.25,0.44,0.06,0.0,0.0,0.0,5.06,1.44,77.9,785,785
786,Denzel Dumfries,2800000000,NED,1,N/A,Inter,Serie A,26,33.0,21.0,2028.0,0.22,1.73,0.76,43.6,0.13,10.9,0.0,0.0,0.0,28.8,74.9,83.3,76.6,52.3,0.18,1.2,0.4,38.4,0.04,5.73,0.58,2.31,0.0,4.22,24.0,1.56,2.44,0.27,0.58,0.71,0.49,0.58,41.9,13.0,1.29,0.36,0.0,1.16,2.93,2.18,10.3,17.7,25.0,0.71,1.38,51.6,30.1,158.2,86.0,1.38,31.3,82.4,0.13,0.0,0.0,1.47,1.87,0.18,2.31,0.04,0.0,2.62,1.82,59.0,787,787
787,Paul Dummett,120000000,WAL,1,N/A,Newcastle Utd,Premier League,30,3.0,2.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,75.0,85.7,80.6,25.0,0.0,0.0,0.0,30.9,0.45,3.18,0.45,1.36,0.0,18.2,0.91,1.82,0.45,0.0,2.73,0.91,0.45,2.27,62.5,14.1,1.36,0.0,0.0,1.82,5.91,3.18,16.8,20.5,6.36,0.0,0.0,0.0,18.6,68.6,32.7,0.0,16.4,97.3,0.91,0.0,0.0,1.82,1.36,0.0,1.36,0.0,0.0,1.36,1.36,50.0,788,788
788,Alfred Duncan,500000000,GHA,2,N/A,Fiorentina,Serie A,29,33.0,21.0,1931.0,0.09,0.51,0.14,27.3,0.18,18.7,0.0,0.0,0.0,34.9,79.1,86.0,80.8,76.0,0.09,1.35,0.28,44.2,0.51,5.86,2.37,1.35,0.14,39.5,2.23,2.0,2.23,0.23,0.65,0.6,0.37,0.51,31.4,16.5,1.16,0.19,0.0,1.07,2.7,1.02,8.7,29.9,16.1,0.56,0.84,66.7,35.0,168.4,94.2,1.21,38.1,90.0,0.14,0.0,0.0,1.26,0.6,0.0,1.35,0.0,0.0,0.7,0.84,45.5,789,789
789,Lewis Dunk,1800000000,ENG,1,N/A,Brighton,Premier League,30,29.0,29.0,2573.0,0.03,0.66,0.24,36.8,0.05,10.0,0.0,0.0,0.0,58.6,89.1,92.7,95.0,76.3,0.0,0.07,0.03,65.8,1.85,4.9,1.68,0.21,0.0,4.23,57.3,1.22,0.52,0.07,0.31,0.35,0.03,0.21,46.2,4.37,1.47,0.94,0.0,1.61,2.31,11.5,43.5,31.9,3.01,0.17,0.21,83.3,48.0,248.6,117.2,0.14,54.1,98.3,0.1,0.03,0.0,0.28,0.21,0.0,0.21,0.0,0.0,3.18,1.54,67.4,790,790
791,Hugo Duro,500000000,ESP,3,MF,Valencia,La Liga,22,30.0,22.0,1834.0,0.34,1.52,0.74,48.4,0.23,11.4,0.0,0.0,0.0,13.8,72.1,79.1,72.8,40.7,0.05,0.15,0.0,19.2,0.2,5.15,0.1,0.39,0.0,9.61,5.05,0.59,1.57,0.34,0.59,0.74,0.2,0.54,27.5,25.6,1.47,0.1,0.0,0.39,1.91,1.18,4.8,13.6,15.5,0.64,1.18,54.2,18.0,51.8,24.6,2.6,20.9,56.4,0.15,0.05,0.05,1.57,2.3,0.34,0.39,0.0,0.0,2.35,4.22,35.8,792,792
792,Hugo Duro,500000000,ESP,1,MF,Getafe,La Liga,22,1.0,0.0,12.0,0.0,20.0,10.0,50.0,0.0,16.0,0.0,0.0,0.0,30.0,75.0,100.0,100.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,20.0,50.0,20.0,0.0,50.0,100.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,50.0,793,793
794,Paulo Dybala,3000000000,ARG,3,MF,Juventus,Serie A,28,29.0,26.0,2061.0,0.44,4.28,1.62,37.8,0.09,21.9,0.48,0.04,0.09,40.0,81.1,85.1,86.0,69.1,0.22,1.4,0.31,49.3,1.18,7.34,2.88,1.44,1.75,42.9,4.37,1.75,4.15,0.52,0.26,0.44,0.44,0.22,15.2,14.5,1.05,0.0,0.0,0.83,1.97,0.39,6.9,32.6,28.9,1.48,2.71,54.8,45.7,222.1,101.7,1.7,49.1,83.1,0.13,0.0,0.0,0.87,2.36,0.26,1.44,0.0,0.0,0.17,1.09,13.8,795,795
796,Enzo Ebosse,450000000,CMR,1,N/A,Angers,Ligue 1,23,27.0,21.0,1890.0,0.0,0.19,0.0,0.0,0.0,22.4,0.0,0.0,0.0,43.6,84.8,91.5,88.9,66.1,0.0,0.24,0.14,51.4,1.48,4.48,1.38,0.52,0.0,41.0,5.9,1.14,1.14,0.0,1.1,0.38,0.1,0.57,46.2,11.1,1.24,0.38,0.0,1.95,3.52,5.48,28.6,30.1,5.05,0.48,0.71,66.7,40.7,224.6,111.7,0.14,40.6,96.5,0.05,0.0,0.0,0.76,0.95,0.0,0.52,0.05,0.0,1.19,1.24,49.0,797,797
797,Tyronne Ebuehi,200000000,NGA,1,N/A,Venezia,Serie A,26,19.0,12.0,1138.0,0.0,0.63,0.08,12.5,0.0,16.0,0.0,0.0,0.0,31.5,78.1,87.1,84.5,61.4,0.0,0.79,0.4,40.3,0.32,6.83,0.32,1.59,0.0,3.89,26.6,0.95,1.27,0.0,1.19,0.4,0.32,0.63,50.0,14.1,2.3,0.24,0.0,1.83,3.73,3.97,21.7,19.9,13.1,0.79,1.19,66.7,29.0,164.4,85.9,0.79,27.0,85.2,0.08,0.08,0.0,1.83,0.63,0.08,1.59,0.0,0.0,1.27,1.43,47.1,798,798
798,Éderson,2000000000,BRA,2,N/A,Salernitana,Serie A,22,15.0,13.0,1147.0,0.16,1.73,0.63,36.4,0.09,19.0,0.0,0.0,0.0,23.9,81.7,81.5,89.2,75.6,0.08,0.47,0.0,29.2,0.24,7.01,1.02,0.47,0.0,2.99,24.5,1.02,2.2,0.16,1.42,1.1,0.55,0.87,50.0,19.4,1.02,0.31,0.0,1.89,4.96,1.89,10.8,26.6,13.2,1.5,3.15,47.5,31.8,184.9,100.6,1.57,29.3,86.5,0.39,0.0,0.0,1.5,3.07,0.08,0.47,0.0,0.0,0.94,1.65,36.4,799,799
799,Ederson,4500000000,BRA,4,N/A,Manchester City,Premier League,28,37.0,37.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,89.6,100.0,99.8,72.2,0.0,0.03,0.0,29.4,1.0,2.51,0.84,0.0,0.0,20.1,4.78,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,25.8,30.8,0.32,0.0,0.0,0.0,0.0,19.4,76.8,47.3,0.0,19.4,99.3,0.08,0.0,0.0,0.03,0.19,0.0,0.0,0.03,0.0,0.0,0.0,0.0,800,800
801,CJ Egan-Riley,250000000,ENG,1,N/A,Manchester City,Premier League,19,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802,802
802,Maximilian Eggestein,800000000,GER,2,N/A,Freiburg,Bundesliga,25,31.0,26.0,2194.0,0.04,0.98,0.25,25.0,0.04,20.5,0.0,0.0,0.0,29.0,75.8,83.9,79.4,58.6,0.08,0.86,0.16,38.2,0.45,8.93,0.57,0.45,0.08,5.49,27.7,1.6,2.01,0.25,0.86,0.94,0.25,0.82,43.5,17.8,2.13,0.57,0.0,1.39,3.44,2.75,11.5,27.9,13.4,0.25,0.57,42.9,28.9,134.5,70.2,1.19,28.8,88.0,0.08,0.0,0.0,1.48,1.23,0.04,0.45,0.0,0.0,2.7,2.42,52.8,803,803
803,Lilian Egloff,150000000,GER,3,MF,Stuttgart,Bundesliga,19,4.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,66.7,100.0,66.7,0.0,0.0,0.0,0.0,30.0,0.0,6.67,3.33,0.0,0.0,6.67,16.7,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,46.7,0.0,0.0,0.0,0.0,3.33,0.0,6.67,26.7,23.3,0.0,0.0,0.0,36.7,110.0,46.7,0.0,40.0,54.5,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,3.33,6.67,33.3,804,804
804,Kingsley Ehizibue,230000000,NED,1,N/A,Köln,Bundesliga,27,16.0,6.0,681.0,0.0,0.79,0.0,0.0,0.0,23.7,0.0,0.0,0.0,33.6,68.9,78.8,80.9,44.7,0.13,1.32,0.92,48.7,0.66,7.11,0.92,2.11,0.0,1.71,33.8,1.71,1.58,0.26,2.89,0.66,0.0,1.32,50.0,20.9,2.76,0.66,0.0,2.24,5.79,3.68,27.2,28.9,12.9,1.18,2.11,56.3,34.2,206.4,125.3,0.79,30.9,90.0,0.26,0.0,0.0,1.97,2.5,0.0,2.11,0.0,0.0,2.11,0.79,72.7,805,805
805,Julian Eitschberger,350000,GER,1,N/A,Hertha BSC,Bundesliga,18,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,71.0,82.4,57.1,66.7,0.0,0.0,0.0,62.0,2.0,14.0,0.0,2.0,0.0,12.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,2.0,2.0,8.0,36.0,36.0,10.0,0.0,0.0,0.0,40.0,206.0,144.0,0.0,42.0,91.3,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,806,806
806,Albin Ekdal,800000,SWE,2,N/A,Sampdoria,Serie A,32,26.0,19.0,1637.0,0.05,0.77,0.11,14.3,0.07,13.8,0.0,0.0,0.0,32.0,80.9,87.8,81.6,67.0,0.0,0.38,0.0,39.6,2.58,6.92,0.6,0.05,0.0,4.23,31.2,1.1,0.93,0.0,0.88,1.26,0.33,1.1,40.0,19.2,2.14,0.38,0.0,2.2,4.67,2.91,15.9,29.7,8.13,0.77,1.1,70.0,28.9,134.4,60.2,0.71,28.0,93.8,0.6,0.05,0.05,2.14,2.25,0.0,0.05,0.0,0.0,1.54,1.04,59.6,807,807
808,Jurgen Ekkelenkamp,550000000,NED,2,FW,Hertha BSC,Bundesliga,22,21.0,6.0,718.0,0.38,1.75,0.5,28.6,0.21,13.9,0.0,0.0,0.0,20.3,67.5,81.4,72.9,32.0,0.0,0.38,0.0,30.0,0.25,6.0,0.63,0.5,0.25,6.88,19.1,1.63,1.88,0.0,0.38,0.75,0.0,0.38,42.9,15.4,1.63,0.38,0.0,1.13,2.25,0.5,6.88,23.0,16.3,0.88,2.13,41.2,26.6,98.1,53.0,2.38,29.1,64.0,0.13,0.0,0.0,1.38,0.63,0.0,0.5,0.0,0.0,1.13,2.75,29.0,809,809
810,Anthony Elanga,2500000000,SWE,3,N/A,Manchester Utd,Premier League,20,21.0,14.0,1214.0,0.15,1.56,0.52,33.3,0.1,15.4,0.0,0.0,0.0,25.6,78.5,87.5,76.1,58.6,0.15,0.37,0.22,32.7,0.0,7.7,0.44,1.19,0.0,5.63,23.4,2.0,1.33,0.37,0.89,0.74,0.22,0.59,30.8,21.4,1.78,0.15,0.0,1.41,3.26,0.89,9.19,17.2,22.8,1.11,2.89,38.5,32.5,149.6,82.5,1.26,33.3,73.5,0.0,0.0,0.0,0.81,1.78,0.22,1.19,0.0,0.0,2.0,1.85,51.9,811,811
811,Alberth Elis,350000000,HON,3,MF,Bordeaux,Ligue 1,26,20.0,16.0,1409.0,0.57,1.91,0.76,40.0,0.3,13.8,0.0,0.0,0.06,12.7,62.1,68.8,68.4,57.7,0.06,0.64,0.25,20.5,0.0,6.43,0.38,1.97,0.0,0.7,17.1,1.72,2.23,0.13,0.38,0.57,0.45,0.45,33.3,18.5,1.08,0.0,0.0,0.96,2.36,0.7,4.52,15.4,18.6,1.34,3.06,43.8,24.1,144.1,96.1,2.74,25.0,63.0,0.13,0.0,0.0,1.46,1.46,0.57,1.97,0.0,0.0,1.78,3.06,36.8,812,812
812,Harvey Elliott,3500000000,ENG,2,N/A,Liverpool,Premier League,19,6.0,4.0,346.0,0.0,2.63,0.26,10.0,0.0,17.2,0.0,0.0,0.0,55.3,84.3,89.9,87.4,76.0,0.0,2.37,0.53,65.5,0.0,6.05,0.79,1.84,0.53,57.9,5.53,1.84,5.53,0.26,0.26,0.0,0.53,0.26,14.3,24.7,2.37,0.26,0.0,0.79,1.58,0.26,6.58,36.8,41.8,0.53,1.84,28.6,57.9,296.3,176.8,0.53,59.5,92.2,0.0,0.0,0.0,0.53,1.84,0.0,1.84,0.0,0.0,0.26,1.05,20.0,813,813
814,Mohamed Elneny,900000000,EGY,2,N/A,Arsenal,Premier League,29,14.0,8.0,806.0,0.0,0.89,0.22,25.0,0.0,25.7,0.0,0.0,0.0,57.6,93.5,94.3,97.4,88.3,0.22,0.22,0.0,61.6,1.67,6.56,0.44,0.0,0.0,3.0,55.3,1.33,1.44,0.22,1.11,0.67,0.11,0.33,42.9,12.0,1.0,0.11,0.0,2.0,3.89,4.44,18.4,43.9,11.7,0.0,0.11,0.0,47.3,204.9,87.9,0.22,50.6,96.2,0.11,0.0,0.0,0.56,0.78,0.0,0.0,0.0,0.0,1.22,1.22,50.0,815,815
815,Aritz Elustondo,1400000000,ESP,1,N/A,Real Sociedad,La Liga,28,30.0,22.0,2105.0,0.17,0.68,0.3,43.8,0.25,12.8,0.0,0.0,0.0,42.4,85.1,88.5,89.3,74.8,0.04,0.13,0.0,49.7,1.41,5.04,1.37,0.13,0.0,5.04,37.6,0.77,0.43,0.04,0.85,0.26,0.0,0.26,42.9,7.18,1.37,0.6,0.0,2.18,3.29,8.12,30.1,29.3,4.02,0.3,0.43,70.0,35.7,223.0,119.4,0.26,35.8,97.7,0.13,0.04,0.0,0.81,0.94,0.09,0.13,0.04,0.0,3.42,1.24,73.4,816,816
816,Nico Elvedi,2000000000,SUI,1,N/A,M'Gladbach,Bundesliga,25,28.0,28.0,2430.0,0.04,0.52,0.04,7.1,0.07,9.0,0.0,0.0,0.0,58.8,93.2,91.3,95.6,92.6,0.0,0.0,0.0,63.1,2.74,6.37,1.22,0.0,0.0,15.4,42.6,0.7,0.37,0.0,1.15,0.56,0.0,0.7,52.8,7.3,1.93,0.89,0.04,2.19,3.89,9.37,41.6,34.7,1.59,0.04,0.11,33.3,47.6,232.1,120.6,0.15,48.7,99.0,0.11,0.04,0.0,0.81,0.85,0.0,0.0,0.0,0.0,3.37,1.85,64.5,817,817
818,Mohamed Elyounoussi,1200000000,NOR,2,FW,Southampton,Premier League,27,30.0,23.0,2042.0,0.18,1.89,0.75,39.5,0.09,13.7,0.0,0.0,0.0,19.9,70.6,81.7,71.7,41.3,0.09,0.93,0.09,28.1,0.09,7.18,0.26,1.54,0.04,4.36,20.5,1.59,2.29,0.22,0.62,1.06,0.35,0.44,32.3,22.0,1.63,0.18,0.0,0.84,2.86,1.45,5.9,18.6,20.9,0.79,1.63,48.6,27.7,166.5,87.7,2.29,27.3,73.8,0.18,0.0,0.0,1.67,1.23,0.04,1.54,0.0,0.0,1.54,2.69,36.5,819,819
820,Breel Embolo,2200000000,SUI,3,MF,M'Gladbach,Bundesliga,25,29.0,24.0,2166.0,0.37,1.99,0.95,47.9,0.19,13.5,0.0,0.0,0.0,17.8,73.3,79.0,71.7,66.7,0.12,1.0,0.08,24.4,0.08,7.59,0.21,0.25,0.0,2.37,18.7,1.62,3.28,0.37,0.08,0.71,0.41,0.33,50.0,16.3,0.71,0.17,0.0,0.46,1.66,0.58,1.78,22.4,17.9,1.49,3.36,44.4,29.0,109.8,56.9,3.36,29.9,63.0,0.12,0.0,0.0,1.91,3.44,0.83,0.25,0.0,0.0,1.83,3.9,31.9,821,821
821,Emerson,1200000000,BRA,1,N/A,Tottenham,Premier League,23,31.0,26.0,2286.0,0.04,0.59,0.16,26.7,0.07,14.6,0.0,0.0,0.0,46.4,81.7,89.8,84.5,60.5,0.04,1.06,0.39,56.7,0.98,7.83,0.63,2.36,0.04,5.0,39.0,1.46,1.93,0.16,2.2,0.94,0.24,1.1,46.7,19.7,2.2,0.16,0.0,1.38,4.76,4.41,22.7,27.8,22.9,0.71,1.06,66.7,40.2,179.8,98.7,1.18,40.0,88.5,0.2,0.0,0.0,1.5,2.09,0.08,2.36,0.0,0.0,1.61,1.65,49.4,822,822
822,Emerson,1200000000,BRA,1,N/A,Barcelona,La Liga,23,3.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,84.1,96.6,89.3,57.1,0.0,3.0,1.0,69.0,0.0,10.0,1.0,2.0,0.0,3.0,51.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,50.0,26.0,1.0,0.0,0.0,2.0,6.0,1.0,20.0,50.0,16.0,0.0,1.0,0.0,55.0,215.0,103.0,0.0,55.0,98.2,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,823,823
823,Renaud Emond,900000,BEL,2,FW,Nantes,Ligue 1,30,6.0,2.0,190.0,0.0,0.48,0.0,0.0,0.0,54.0,0.0,0.0,0.0,11.0,69.7,80.0,70.0,50.0,0.0,0.0,0.0,15.7,0.0,6.67,0.0,0.0,0.0,1.43,10.0,0.48,0.48,0.0,0.0,0.95,0.48,0.0,0.0,16.7,1.9,0.48,0.48,0.95,2.38,0.95,3.33,13.3,6.19,0.48,0.48,100.0,11.0,31.4,6.19,0.0,13.8,41.4,0.0,0.0,0.0,1.43,1.9,0.0,0.0,0.0,0.0,1.9,6.19,23.5,824,824
824,Youssef En-Nesyri,1500000000,MAR,3,N/A,Sevilla,La Liga,24,23.0,15.0,1277.0,0.35,2.54,0.85,33.3,0.11,11.5,0.0,0.07,0.07,8.87,68.9,75.3,68.3,54.5,0.07,0.14,0.0,12.9,0.0,4.01,0.49,0.28,0.0,8.52,0.85,0.49,0.85,0.28,0.28,0.21,0.14,0.21,25.0,16.1,0.92,0.35,0.0,0.35,0.99,1.48,3.17,10.5,10.6,0.42,1.13,37.5,11.0,40.8,17.8,0.99,15.5,45.2,0.07,0.0,0.0,0.77,0.77,1.27,0.28,0.0,0.0,3.24,4.01,44.7,825,825
826,Wataru Endo,650000000,JPN,2,N/A,Stuttgart,Bundesliga,29,33.0,33.0,2899.0,0.12,1.43,0.5,34.8,0.09,15.0,0.0,0.0,0.0,39.8,82.0,84.9,86.5,70.7,0.06,0.47,0.06,48.6,0.5,10.7,0.9,0.28,0.03,7.39,36.1,1.52,1.71,0.06,1.09,1.06,0.16,0.71,35.9,20.7,2.08,0.43,0.0,1.83,4.13,3.07,16.5,36.1,12.5,0.93,1.55,60.0,41.8,181.5,92.5,1.86,40.8,89.2,0.12,0.0,0.0,1.09,2.24,0.03,0.28,0.0,0.0,2.89,1.61,64.1,827,827
827,Christian Eriksen,2500000000,DEN,2,N/A,Brentford,Premier League,30,11.0,10.0,939.0,0.1,2.12,0.77,36.4,0.05,23.2,0.48,0.0,0.0,45.4,74.4,86.5,81.8,60.9,0.38,1.73,0.77,61.0,4.13,6.35,4.81,2.88,5.29,16.0,42.6,1.15,5.1,0.67,0.67,0.77,0.29,0.87,69.2,14.4,1.25,0.1,0.0,0.96,2.69,1.92,13.8,38.0,23.8,0.67,1.63,41.2,42.5,213.9,124.0,0.96,46.3,87.9,0.1,0.0,0.0,0.58,0.38,0.0,2.88,0.0,0.0,0.58,0.87,40.0,828,828
828,Martin Erlic,550000000,CRO,1,N/A,Spezia,Serie A,24,30.0,30.0,2576.0,0.07,0.52,0.1,20.0,0.13,9.4,0.0,0.0,0.0,29.9,81.6,85.1,89.6,66.0,0.0,0.03,0.0,36.6,1.61,4.09,1.22,0.1,0.0,4.76,27.5,0.59,0.31,0.07,0.77,0.28,0.1,0.42,52.2,10.2,2.55,1.57,0.03,2.2,3.36,10.2,30.8,17.5,1.57,0.07,0.07,100.0,23.7,124.3,49.5,0.1,25.8,97.2,0.17,0.0,0.0,1.05,0.73,0.0,0.1,0.07,0.0,2.48,1.75,58.7,829,829
