,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id,predicted_value
931,Ryan Fredericks,200000000,ENG,1,N/A,West Ham,Premier League,29,7.0,3.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,77.6,89.0,78.9,30.0,0.0,0.59,0.29,43.2,0.0,3.82,0.29,2.35,0.0,2.35,28.8,0.88,0.59,0.0,1.18,0.0,0.0,0.59,50.0,7.06,1.18,0.29,0.0,1.76,2.94,5.0,17.1,22.4,13.8,0.0,0.29,0.0,24.4,92.4,49.1,0.29,29.1,95.2,0.29,0.0,0.0,0.88,0.29,0.0,2.35,0.0,0.0,1.76,0.29,85.7,932,932,143534610.70860142
932,Morten Frendrup,0,DEN,1,MF,Genoa,Serie A,21,10.0,6.0,695.0,0.0,0.52,0.26,50.0,0.0,19.4,0.0,0.0,0.0,32.6,70.3,84.0,71.7,57.6,0.0,0.52,0.13,46.4,0.52,7.92,0.65,0.78,0.0,8.57,24.3,1.3,1.95,0.39,1.82,1.56,0.78,1.43,45.8,25.5,3.12,0.26,0.0,2.21,6.36,1.95,15.3,32.9,13.0,0.52,0.65,80.0,26.6,136.0,60.8,0.78,21.6,88.8,0.13,0.0,0.0,1.95,0.52,0.0,0.78,0.0,0.0,1.56,2.21,41.4,933,933,131715417.33846888
933,Remo Freuler,1000000000,SUI,2,N/A,Atalanta,Serie A,30,29.0,28.0,2369.0,0.04,0.76,0.23,30.0,0.05,20.0,0.0,0.0,0.0,55.1,85.8,90.0,88.9,70.1,0.11,1.67,0.23,64.2,2.24,7.38,1.22,0.84,0.08,8.44,52.1,1.79,2.28,0.19,0.84,1.18,0.42,0.99,37.1,18.4,1.83,0.3,0.04,1.83,4.26,2.09,13.9,44.0,22.7,0.99,1.67,59.1,52.4,269.7,134.1,1.06,53.2,94.3,0.38,0.0,0.0,1.75,1.29,0.0,0.84,0.04,0.04,1.03,0.87,54.0,934,934,1264754380.0917518
934,Marvin Friedrich,500000000,GER,1,N/A,Union Berlin,Bundesliga,26,13.0,13.0,1169.0,0.0,1.15,0.31,26.7,0.0,12.8,0.0,0.0,0.0,36.2,75.6,81.3,87.1,55.7,0.0,0.15,0.08,47.9,1.15,5.69,1.31,0.31,0.0,6.62,35.9,1.0,0.69,0.0,1.38,0.15,0.0,1.0,81.3,12.6,1.85,0.54,0.0,2.38,3.92,8.31,33.6,25.5,3.77,0.31,0.46,66.7,35.0,174.1,97.2,0.31,35.8,95.3,0.31,0.08,0.08,0.85,0.15,0.0,0.31,0.0,0.08,3.46,2.54,57.7,935,935,281980506.929692
935,Marvin Friedrich,500000000,GER,1,N/A,M'Gladbach,Bundesliga,26,8.0,7.0,600.0,0.0,0.75,0.15,20.0,0.0,14.0,0.0,0.0,0.0,62.5,89.0,91.9,97.5,68.8,0.0,0.3,0.0,70.3,1.34,9.85,1.49,0.0,0.0,8.51,57.5,0.9,0.15,0.0,2.09,0.6,0.0,0.75,71.4,7.61,1.34,0.45,0.0,1.49,4.18,8.81,49.0,33.6,2.54,0.0,0.15,0.0,54.8,212.8,83.3,0.0,59.0,98.0,0.15,0.0,0.0,0.9,0.3,0.15,0.0,0.15,0.0,3.73,1.94,65.8,936,936,517409835.31022286
936,Jeremie Frimpong,3500000000,NED,1,N/A,Leverkusen,Bundesliga,21,25.0,25.0,2052.0,0.04,0.48,0.18,36.4,0.09,18.9,0.0,0.0,0.0,43.2,81.6,90.2,85.0,53.5,0.26,1.1,0.44,53.0,0.88,6.93,0.35,2.28,0.0,5.22,36.4,1.32,2.15,0.44,1.05,0.44,0.0,0.48,61.1,13.0,2.19,0.31,0.0,1.71,3.2,3.46,22.4,31.9,18.2,1.93,3.38,57.1,43.9,283.2,189.4,1.45,39.8,91.6,0.26,0.0,0.0,0.83,2.28,0.04,2.28,0.04,0.04,1.01,1.18,46.0,937,937,3302618970.8142824
937,Christian Früchtl,100000000,GER,4,N/A,Bayern Munich,Bundesliga,22,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,938,79545537.68217885
938,Jorge de Frutos,0,ESP,2,FW,Levante,La Liga,25,25.0,20.0,1760.0,0.2,2.35,1.02,43.5,0.09,15.3,0.0,0.0,0.0,17.6,67.8,84.7,68.6,49.4,0.36,1.38,0.56,26.0,0.05,5.51,1.07,3.06,0.36,2.81,20.5,1.58,2.6,0.56,0.66,0.51,0.71,0.41,20.5,19.0,0.87,0.05,0.0,1.07,2.96,1.12,6.68,16.1,19.3,1.58,3.88,40.8,27.1,152.3,101.5,1.79,24.9,67.4,0.2,0.0,0.0,1.94,1.28,0.66,3.06,0.1,0.0,0.41,1.43,22.2,939,939,646509135.3446451
939,Leo Fuhr Hjelde,0,NOR,1,N/A,Leeds United,Premier League,18,2.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,75.7,85.5,85.7,42.9,0.0,0.0,0.0,65.3,0.0,13.5,1.18,1.76,0.0,37.6,5.88,3.53,1.76,0.0,2.35,0.0,0.0,1.76,100.0,17.6,1.76,1.76,0.0,2.35,4.71,6.47,34.1,34.1,10.6,0.0,0.59,0.0,35.9,145.9,80.6,0.0,38.2,89.0,0.0,0.0,0.0,0.59,0.59,0.0,1.76,0.0,0.0,2.35,1.18,66.7,940,940,249126809.1325417
940,Chris Führich,400000000,GER,2,FW,Stuttgart,Bundesliga,24,25.0,21.0,1714.0,0.16,1.58,0.63,40.0,0.1,19.2,0.0,0.0,0.0,29.2,79.4,86.9,83.1,53.7,0.11,1.74,0.42,36.7,1.58,7.47,1.0,1.84,1.16,3.74,30.1,1.05,3.21,0.21,0.58,0.74,0.42,0.89,37.0,19.4,1.63,0.11,0.0,1.05,2.79,0.89,6.68,22.9,23.9,2.0,3.05,65.5,35.1,202.2,117.2,1.84,31.9,78.4,0.16,0.0,0.0,0.58,1.21,0.11,1.84,0.0,0.0,0.53,0.95,35.7,941,941,1490289885.5241892
941,Angelo Fulgini,900000000,FRA,2,FW,Angers,Ligue 1,25,36.0,35.0,2929.0,0.15,1.78,0.52,29.3,0.09,16.2,0.09,0.0,0.0,35.2,81.7,87.9,86.3,56.1,0.12,0.86,0.22,43.1,0.98,8.68,0.89,1.17,1.26,4.83,36.1,1.82,2.34,0.25,0.31,0.4,0.22,0.28,25.0,15.0,1.11,0.15,0.0,1.11,2.03,0.49,7.6,32.8,21.7,1.63,3.48,46.9,43.3,211.3,114.8,2.86,44.0,81.6,0.18,0.0,0.0,1.26,2.83,0.15,1.17,0.0,0.0,1.05,1.38,43.0,942,942,2008388462.8030155
942,Marius Funk,0,GER,4,N/A,Greuther Fürth,Bundesliga,26,8.0,8.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,62.4,100.0,96.7,43.8,0.0,0.0,0.0,45.3,3.38,2.25,0.75,0.0,0.0,5.5,34.4,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,42.0,48.4,0.25,0.0,0.0,0.0,0.0,25.3,120.9,58.1,0.0,25.6,99.5,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,943,943,232682657.3343313
943,Stephan Fürstner,0,GER,2,N/A,Mainz 05,Bundesliga,34,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,10.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,20.0,90.0,60.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944,944,74915002.66840059
944,Matteo Gabbia,700000000,ITA,1,N/A,Milan,Serie A,22,8.0,6.0,537.0,0.0,0.17,0.0,0.0,0.0,3.2,0.0,0.0,0.0,61.3,88.0,88.0,94.6,76.4,0.0,0.17,0.0,69.7,1.5,6.17,2.0,0.0,0.0,11.7,51.8,0.83,0.5,0.33,0.33,0.5,0.0,0.0,0.0,9.67,0.33,0.33,0.0,2.33,3.17,8.67,44.2,33.0,1.17,0.0,0.0,0.0,53.5,233.0,119.2,0.17,56.3,98.8,0.5,0.0,0.0,1.33,0.67,0.0,0.0,0.0,0.0,3.33,1.67,66.7,945,945,458661309.511593
945,Manolo Gabbiadini,300000000,ITA,3,MF,Sampdoria,Serie A,30,18.0,15.0,1140.0,0.47,3.46,1.65,47.7,0.14,18.4,0.24,0.0,0.0,17.7,66.2,78.4,67.3,43.4,0.16,1.1,0.31,26.8,0.31,7.17,0.63,0.87,0.94,20.2,2.68,1.97,2.6,0.31,0.31,0.16,0.31,0.08,10.0,9.61,0.63,0.08,0.0,0.39,1.18,0.94,4.72,19.1,16.2,0.47,0.94,50.0,24.3,120.0,56.0,1.1,27.6,66.0,0.24,0.0,0.0,1.02,1.26,0.47,0.87,0.0,0.0,1.57,3.7,29.9,946,946,524442299.56462425
946,Mijat Ga?inovi?,0,SRB,3,DF,Hoffenheim,Bundesliga,27,4.0,1.0,110.0,0.0,0.83,0.0,0.0,0.0,11.2,0.0,0.0,0.0,32.5,84.8,94.4,87.0,40.0,0.0,0.0,0.0,38.3,0.0,5.0,0.83,0.0,0.0,7.5,23.3,0.83,2.5,0.0,0.83,0.83,0.83,2.5,75.0,15.8,0.83,0.0,0.0,1.67,4.17,1.67,10.8,30.8,15.0,3.33,3.33,100.0,30.0,135.0,75.8,3.33,32.5,73.6,0.83,0.0,0.0,3.33,0.83,0.0,0.0,0.0,0.0,3.33,0.83,80.0,947,947,171294486.2838669
947,Gianluca Gaetano,450000000,ITA,2,N/A,Napoli,Serie A,22,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,81.8,80.0,83.3,0.0,0.0,0.0,0.0,55.0,0.0,10.0,0.0,0.0,0.0,5.0,45.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,50.0,40.0,0.0,0.0,0.0,10.0,20.0,0.0,30.0,35.0,20.0,0.0,0.0,0.0,45.0,345.0,60.0,0.0,40.0,66.7,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,15.0,25.0,948,948,366301900.10451925
948,Luca Gagliano,0,ITA,2,DF,Cagliari,Serie A,21,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,0.0,10.0,0.0,50.0,200.0,20.0,0.0,50.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,949,949,208408362.1169566
949,Roberto Gagliardini,650000000,ITA,2,N/A,Inter,Serie A,28,18.0,6.0,649.0,0.28,1.11,0.56,50.0,0.25,15.8,0.0,0.0,0.0,41.3,85.1,89.8,85.9,60.0,0.28,0.56,0.0,48.5,0.56,6.25,0.97,0.69,0.0,7.22,36.5,0.97,2.08,0.28,0.42,0.56,0.28,0.14,9.1,23.2,2.08,0.69,0.0,1.81,3.06,1.94,12.2,32.1,18.9,0.56,1.25,44.4,40.0,202.8,98.3,1.53,43.2,90.9,0.28,0.0,0.0,3.19,2.36,0.0,0.69,0.0,0.0,2.36,2.36,50.0,950,950,522201257.3989699
950,Riccardo Gagliolo,0,SWE,1,N/A,Salernitana,Serie A,32,17.0,12.0,1138.0,0.0,0.63,0.08,12.5,0.0,16.9,0.0,0.0,0.0,30.5,78.2,87.0,83.1,64.8,0.08,0.16,0.0,39.0,1.67,3.57,1.03,0.24,0.0,23.7,10.0,0.87,0.32,0.08,1.35,0.63,0.24,0.87,45.8,10.9,1.59,0.71,0.0,3.17,5.4,7.78,25.7,22.4,5.79,0.32,0.56,57.1,24.7,136.3,71.7,0.32,25.1,96.9,0.16,0.0,0.0,0.79,1.11,0.0,0.24,0.0,0.0,1.19,1.03,53.6,951,951,191273003.14376846
951,Javi Galán,1200000000,ESP,1,N/A,Celta Vigo,La Liga,27,37.0,37.0,3298.0,0.0,0.52,0.14,26.3,0.0,27.3,0.03,0.0,0.0,46.9,78.4,89.2,82.5,52.1,0.08,1.07,0.6,59.9,0.87,6.07,1.69,3.33,0.11,45.3,2.08,1.75,1.39,0.11,1.94,1.23,0.3,1.12,45.1,17.6,1.86,0.19,0.0,1.94,5.41,2.02,21.2,35.6,22.8,1.69,2.57,66.0,47.1,280.5,176.6,1.75,44.6,90.6,0.22,0.0,0.0,1.86,2.21,0.3,3.33,0.0,0.0,0.82,1.31,38.5,952,952,1066291759.1674784
952,Iñigo Ruiz de Galarreta,200000000,ESP,2,N/A,Mallorca,La Liga,28,22.0,17.0,1378.0,0.0,0.52,0.2,37.5,0.0,21.8,0.0,0.0,0.0,40.0,80.6,87.1,85.0,66.7,0.0,0.72,0.07,49.6,1.9,7.71,1.83,0.46,0.33,4.51,40.7,1.37,1.83,0.07,1.18,1.57,0.33,0.98,46.9,15.2,1.24,0.13,0.0,1.7,4.77,2.48,13.7,40.1,11.4,1.18,1.83,64.3,39.9,183.0,95.1,1.18,38.2,92.3,0.26,0.0,0.0,2.29,2.68,0.0,0.46,0.0,0.0,1.11,1.44,43.6,953,953,544637744.9368129
953,Nicolas Galazzi,0,ITA,1,N/A,Venezia,Serie A,21,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,62.5,80.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,0.0,5.0,0.0,25.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,45.0,0.0,0.0,0.0,35.0,195.0,110.0,5.0,35.0,63.6,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,954,954,170076535.84300655
954,Pablo Galdames Millán,0,CHI,2,N/A,Genoa,Serie A,25,19.0,11.0,1028.0,0.0,1.05,0.26,25.0,0.0,21.9,0.0,0.0,0.0,28.7,73.0,84.7,78.0,53.3,0.0,0.7,0.18,39.3,2.19,5.96,2.19,1.4,0.7,3.6,33.0,1.4,2.28,0.0,0.61,1.23,0.79,1.4,43.2,22.5,1.67,0.26,0.0,1.32,3.95,1.93,8.95,30.0,12.6,0.61,1.58,38.9,30.5,101.8,42.0,1.49,29.1,84.3,0.18,0.0,0.0,2.02,1.14,0.26,1.4,0.0,0.0,0.7,1.58,30.8,955,955,292274060.9786517
955,Thiago Galhardo,0,BRA,3,MF,Celta Vigo,La Liga,32,31.0,9.0,1148.0,0.16,2.42,1.17,48.4,0.06,12.7,0.0,0.0,0.0,14.8,67.9,83.6,54.4,50.0,0.16,0.86,0.08,21.9,0.08,7.42,0.16,0.78,0.0,3.28,12.4,1.02,1.95,0.31,0.16,0.23,0.39,0.08,11.1,17.9,2.03,0.39,0.0,0.86,1.64,1.02,3.91,15.3,15.6,0.86,1.8,47.8,17.0,75.8,43.4,1.17,23.5,54.9,0.39,0.0,0.0,2.03,1.09,1.25,0.78,0.0,0.0,3.83,6.41,37.4,956,956,625807056.0789284
956,Conor Gallagher,3200000000,ENG,2,N/A,Crystal Palace,Premier League,22,34.0,33.0,2845.0,0.25,1.65,0.7,42.3,0.15,16.5,0.13,0.0,0.0,28.2,76.3,87.0,81.1,52.9,0.09,0.7,0.28,36.9,2.18,6.49,1.68,2.12,1.9,2.66,32.0,1.23,2.82,0.41,1.04,0.63,0.51,0.44,23.0,24.7,1.77,0.32,0.0,1.36,3.54,1.61,9.15,24.4,19.5,1.42,2.25,63.4,33.1,151.7,64.1,1.71,29.7,81.4,0.32,0.0,0.0,2.66,2.28,0.06,2.12,0.0,0.0,1.11,1.27,46.7,957,957,2521810965.4881587
957,Gauthier Gallon,200000000,FRA,4,N/A,Troyes,Ligue 1,29,31.0,31.0,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,70.2,98.7,98.0,49.1,0.0,0.0,0.0,34.2,2.71,2.9,1.48,0.0,0.0,4.29,23.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,33.6,36.9,0.1,0.0,0.03,0.03,100.0,17.4,75.1,38.7,0.0,15.8,99.6,0.06,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958,958,406403990.3663438
958,Cristian Gamboa,700000,CRC,1,N/A,Bochum,Bundesliga,32,23.0,20.0,1722.0,0.05,0.26,0.05,20.0,0.2,30.4,0.0,0.0,0.0,36.2,72.2,88.2,78.5,54.0,0.0,0.89,0.52,50.2,0.73,5.86,1.1,1.41,0.0,2.36,33.7,1.78,1.52,0.21,2.15,1.05,0.1,1.41,42.9,17.1,1.73,0.42,0.0,3.14,6.44,4.82,26.5,29.5,10.0,0.68,0.89,76.5,32.7,201.1,105.1,0.73,30.3,93.1,0.31,0.0,0.0,1.15,0.58,0.1,1.41,0.0,0.0,1.36,0.89,60.5,959,959,174845898.61231422
959,Kévin Gameiro,150000000,FRA,3,N/A,Strasbourg,Ligue 1,35,35.0,28.0,2385.0,0.42,2.45,0.94,38.5,0.15,13.5,0.0,0.04,0.11,24.1,79.9,85.9,82.3,48.8,0.11,0.94,0.11,30.2,0.0,6.08,0.3,0.87,0.0,2.53,25.6,1.51,2.23,0.3,0.23,0.3,0.08,0.11,25.0,17.8,0.6,0.08,0.0,0.53,1.13,0.15,2.19,17.9,22.8,0.72,1.4,51.4,28.2,145.2,78.3,1.85,31.0,65.6,0.0,0.0,0.0,0.64,0.79,0.53,0.87,0.0,0.0,0.45,2.38,16.0,960,960,882304755.2782611
960,Idrissa Gana Gueye,0,SEN,2,N/A,Paris S-G,Ligue 1,32,26.0,18.0,1641.0,0.16,1.32,0.38,29.2,0.13,22.3,0.0,0.0,0.0,71.2,93.4,95.2,94.6,88.2,0.05,0.44,0.05,76.3,1.21,9.95,0.77,0.22,0.05,7.03,67.1,1.04,1.81,0.22,1.37,1.04,0.93,0.6,25.0,25.7,1.15,0.22,0.0,2.03,5.38,1.81,17.0,56.6,18.5,0.99,1.37,72.0,64.9,286.0,132.6,1.43,68.0,94.4,0.22,0.0,0.0,2.47,0.88,0.05,0.22,0.0,0.0,0.55,0.88,38.5,961,961,779211641.657395
961,Ignatius Ganago,400000000,CMR,3,N/A,Lens,Ligue 1,23,28.0,11.0,1024.0,0.44,2.81,0.88,31.3,0.16,13.2,0.0,0.0,0.0,13.1,72.7,80.4,68.0,44.4,0.09,0.35,0.0,18.0,0.09,4.91,0.18,0.35,0.0,2.02,13.7,0.53,2.46,0.26,0.09,0.0,0.09,0.09,14.3,12.6,0.53,0.09,0.0,0.18,0.35,0.18,1.84,12.9,15.7,0.96,1.84,52.4,19.6,73.2,37.6,2.46,23.1,55.7,0.18,0.0,0.0,0.79,1.05,0.88,0.35,0.0,0.0,1.49,2.98,33.3,962,962,667893560.8689482
962,Silvère Ganvoula M'Boussy,0,CGO,3,N/A,Bochum,Bundesliga,25,9.0,0.0,153.0,0.0,2.94,1.18,40.0,0.0,10.6,0.0,0.0,0.0,20.0,56.7,72.7,53.8,60.0,0.0,0.0,0.0,35.3,0.0,16.5,0.0,0.0,0.0,1.76,17.6,1.76,0.59,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,1.18,1.76,18.2,28.8,1.18,1.76,66.7,21.8,124.7,57.6,2.94,37.1,61.8,0.0,0.0,0.0,1.18,0.59,3.53,0.0,0.0,0.0,11.8,3.53,76.9,963,963,228494511.81280932
963,Álvaro García,600000000,ESP,3,N/A,Rayo Vallecano,La Liga,29,36.0,34.0,2998.0,0.21,2.01,0.72,35.8,0.1,16.4,0.0,0.0,0.0,19.4,62.3,73.9,68.2,36.1,0.12,1.47,0.78,31.1,0.09,4.95,1.17,5.11,0.24,21.1,7.99,1.62,2.58,0.21,0.51,0.69,0.36,0.24,21.6,13.4,1.65,0.09,0.0,1.86,3.42,1.23,7.6,13.9,22.5,0.6,1.35,44.4,28.1,178.9,110.7,0.72,27.3,75.4,0.18,0.0,0.0,0.99,0.96,0.36,5.11,0.0,0.0,0.24,0.84,22.2,964,964,997367840.3859092
964,Dani García,200000000,ESP,2,N/A,Athletic Club,La Liga,32,32.0,27.0,2177.0,0.0,0.5,0.08,16.7,0.0,19.0,0.0,0.0,0.0,33.2,77.2,83.3,82.4,61.2,0.0,0.37,0.0,43.0,0.7,6.74,1.16,0.04,0.0,6.28,31.9,1.24,1.16,0.04,0.66,0.74,0.17,0.45,26.2,13.5,1.36,0.41,0.0,0.83,2.4,2.48,10.9,32.2,9.17,0.21,0.33,62.5,27.4,87.9,39.3,0.66,31.4,95.7,0.37,0.0,0.0,2.11,1.2,0.04,0.04,0.0,0.0,1.74,1.61,51.9,965,965,368885826.4938553
965,David García,2000000000,ESP,1,N/A,Osasuna,La Liga,28,35.0,35.0,3105.0,0.12,0.9,0.12,12.9,0.13,11.5,0.0,0.0,0.0,34.1,82.8,85.5,88.4,70.2,0.0,0.06,0.0,41.2,1.07,6.09,1.62,0.06,0.0,10.9,23.9,0.96,0.55,0.0,0.58,0.38,0.06,0.26,40.9,7.83,1.33,0.72,0.03,2.12,3.13,7.13,24.3,28.0,2.43,0.09,0.09,100.0,25.9,141.8,76.7,0.09,28.0,97.9,0.23,0.0,0.0,1.8,0.67,0.0,0.06,0.03,0.0,4.61,1.42,76.4,966,966,1393533007.853411
966,Eric García,1200000000,ESP,1,N/A,Barcelona,La Liga,21,26.0,23.0,2039.0,0.0,0.26,0.18,66.7,0.0,23.7,0.0,0.0,0.0,68.3,93.0,94.9,95.3,87.2,0.0,0.09,0.0,73.4,1.5,5.15,2.2,0.0,0.0,9.56,59.9,0.93,1.01,0.04,0.57,0.66,0.04,0.44,37.0,9.52,1.59,0.62,0.0,2.25,3.52,7.53,34.4,50.0,2.86,0.09,0.09,100.0,58.8,375.5,232.2,0.13,63.3,98.8,0.22,0.04,0.0,1.59,0.35,0.09,0.0,0.04,0.0,1.41,1.1,56.1,967,967,2546273166.515516
967,Francisco Garcia,0,ESP,1,N/A,Rayo Vallecano,La Liga,22,34.0,34.0,3025.0,0.03,0.74,0.24,32.0,0.04,23.5,0.0,0.0,0.0,39.7,78.7,91.2,82.8,50.9,0.0,1.07,0.65,50.4,0.6,5.92,0.8,2.95,0.06,36.7,1.46,1.37,1.55,0.03,1.16,0.48,0.06,1.04,45.5,14.7,2.26,0.24,0.0,2.11,3.81,3.36,20.1,28.8,17.7,0.39,0.98,39.4,34.5,260.5,168.4,0.65,32.5,90.2,0.12,0.0,0.0,0.83,0.54,0.06,2.95,0.0,0.0,0.89,1.31,40.5,968,968,1139926075.5702238
968,Joan García,400000,ESP,4,N/A,Espanyol,La Liga,21,2.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,75.8,100.0,100.0,50.0,0.0,0.0,0.0,27.5,2.5,1.67,2.5,0.0,0.0,1.67,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,27.5,0.83,0.0,0.0,0.0,0.0,15.8,65.0,33.3,0.0,12.5,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969,969,80047508.38929184
969,Manu García,350000000,ESP,2,N/A,Alavés,La Liga,24,24.0,10.0,1077.0,0.0,0.67,0.08,12.5,0.0,21.8,0.0,0.0,0.0,36.9,76.1,83.3,85.7,60.2,0.08,1.5,0.42,48.5,3.25,11.3,3.92,1.58,1.58,2.33,43.8,1.67,3.08,0.25,0.5,0.5,0.33,0.5,26.1,16.3,0.75,0.08,0.0,1.08,2.42,0.75,8.17,36.2,18.3,1.92,3.33,57.5,43.4,219.8,105.4,1.83,39.1,86.2,0.25,0.0,0.0,2.5,3.5,0.0,1.58,0.0,0.0,0.5,0.67,42.9,970,970,487323291.7843851
970,Raúl García,250000000,ESP,3,N/A,Athletic Club,La Liga,35,35.0,24.0,1802.0,0.3,2.2,0.6,27.3,0.14,16.2,0.0,0.0,0.05,18.6,62.8,71.8,63.3,44.0,0.1,1.0,0.15,29.7,0.05,7.8,0.65,0.95,0.0,4.7,16.9,1.25,2.1,0.25,0.35,0.6,0.25,0.4,26.7,22.9,1.65,0.25,0.0,0.85,2.05,1.45,5.0,20.4,16.6,0.4,0.7,57.1,21.3,69.8,31.3,1.05,29.9,69.7,0.15,0.0,0.0,2.5,1.75,0.55,0.95,0.0,0.0,3.9,4.25,47.9,971,971,291231179.65393317
971,Rubén García,600000000,ESP,3,MF,Osasuna,La Liga,28,37.0,30.0,2375.0,0.04,1.14,0.34,30.0,0.03,23.1,0.15,0.0,0.08,33.8,71.5,84.4,76.1,49.8,0.23,1.89,0.72,47.2,1.93,8.9,3.48,3.67,3.41,36.4,5.49,1.63,3.37,0.38,0.45,0.83,0.38,0.53,29.8,15.8,1.93,0.19,0.0,0.83,2.5,0.91,6.97,26.1,28.6,0.91,1.55,58.5,35.2,158.5,82.9,1.1,38.6,77.9,0.04,0.0,0.0,1.67,1.29,0.3,3.67,0.04,0.0,1.33,2.01,39.8,972,972,772057909.660214
972,Saúl García,0,ESP,3,N/A,Alavés,La Liga,27,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973,973,79545537.68217885
